"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0050863"	"BP"	"GO:0050863"	"regulation of T cell activation"	"63/1074"	"381/18870"	1.61803796920249e-14	1.17760803398557e-10	1.01084793128598e-10	"FYN/RUNX3/TNFRSF9/PRDM1/PAG1/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/JAK3/GLI3/GATA3/CCL2/CD5/IFNG/IGFBP2/CD2/CD274/CD80/CCR2/SASH3/IRF1/FGL2/RAC2/FCHO1/IDO1/RARA/PTPN22/IL2RA/HAVCR2/IRF4/LRRC32/IL21/SOX13/ZC3H8/IL2RG/IL18/DLG5/CAMK4/BATF/LAPTM5/VCAM1/IL7R/IL12A/LGALS9/PTPN2/ZNF683/YES1/CD28/LILRB4/FANCA/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	63
"GO:0007159"	"BP"	"GO:0007159"	"leukocyte cell-cell adhesion"	"65/1074"	"419/18870"	1.34719087730273e-13	4.8246276298692e-10	4.14141608933538e-10	"FYN/RUNX3/CD44/PAG1/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/JAK3/GLI3/GATA3/CCL2/CD5/IFNG/ADTRP/ITGA4/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/FGL2/RAC2/FCHO1/IDO1/RARA/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/S100A8/SOX13/ZC3H8/IL2RG/IL18/DLG5/LAPTM5/VCAM1/S100A9/CERCAM/IL7R/IL12A/LGALS9/LRG1/OLR1/PTPN2/YES1/CD28/LILRB4/GCNT1/ZP3/SELL/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	65
"GO:0022409"	"BP"	"GO:0022409"	"positive regulation of cell-cell adhesion"	"55/1074"	"322/18870"	1.9887170774399e-13	4.8246276298692e-10	4.14141608933538e-10	"FYN/PLAUR/RUNX3/CD44/FSTL3/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/GLI3/GATA3/CCL2/CD5/IFNG/GCNT2/ITGA4/IGFBP2/CD274/CD80/CCR2/SASH3/FOXA1/FCHO1/RARA/PTPN22/IL2RA/ADAM19/HAVCR2/IL21/SOX13/MYO10/IL2RG/IL18/CXCL13/VCAM1/IL7R/IL12A/LGALS9/FGG/YES1/CD28/LILRB4/GCNT1/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	55
"GO:1903131"	"BP"	"GO:1903131"	"mononuclear cell differentiation"	"70/1074"	"481/18870"	3.70286561840571e-13	6.11343213157612e-10	5.24771404823538e-10	"TMEM176A/RUNX3/TNFRSF9/PRDM1/PTPRC/TNFSF13B/RELB/IL4I1/CD79A/JAK3/CDK6/EZH2/GLI3/GATA3/POU2AF1/IFNG/ITGB6/ITGA4/CD2/PTK2B/CD80/CCR2/SASH3/GPR18/IRF1/MED1/FGL2/DNAJB9/RARA/PTPN22/IL2RA/IL15RA/KLRC1/CTSL/IRF4/IL21/ARMC5/IRF8/SOX13/ZC3H8/IL2RG/IL18/DCLRE1C/CAMK4/CD8A/BATF/SLAMF8/FCER1G/CD3G/IKZF3/VCAM1/EOMES/IFI16/CLEC4E/CD3D/IL7R/LGALS9/GPR183/PTPN2/ZNF683/FZD8/CD28/PBX1/LILRB4/FANCA/PLCG2/CD3E/HLA-DRA/UBD/LYN"	70
"GO:0022407"	"BP"	"GO:0022407"	"regulation of cell-cell adhesion"	"71/1074"	"493/18870"	4.19993963422377e-13	6.11343213157612e-10	5.24771404823538e-10	"CD9/FYN/PLAUR/RUNX3/CD44/FSTL3/PAG1/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/JAK3/GLI3/GATA3/GTPBP4/CCL2/CD5/IFNG/GCNT2/ADTRP/ITGA4/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/FGL2/FOXA1/FCHO1/IDO1/RARA/PTPN22/IL2RA/ADAM19/HAVCR2/LRRC32/RDX/IL21/SOX13/ZC3H8/MYO10/IL2RG/IL18/DLG5/UBASH3B/PRKCA/CXCL13/LAPTM5/VCAM1/IL7R/IL12A/LGALS9/FGG/PTPN2/YES1/CD28/LILRB4/GCNT1/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	71
"GO:0034341"	"BP"	"GO:0034341"	"response to type II interferon"	"34/1074"	"143/18870"	6.43114927011346e-13	7.80098406464762e-10	6.69629314353042e-10	"WAS/SLC11A1/IFNGR1/JAK2/CD40/CCL17/CCL7/CCL2/CCL8/IFNG/GAPDH/CCL20/ACTR3/STAT1/GBP1/IRF1/MED1/ACTR2/IRF8/GBP5/CXCL16/GBP4/LGALS9/PTPN2/CIITA/CD47/SLC22A5/AIF1/UBD/HLA-DPA1/CCL5/CCL4/CCL18/CCL3"	34
"GO:0030098"	"BP"	"GO:0030098"	"lymphocyte differentiation"	"64/1074"	"429/18870"	1.27047999384595e-12	1.16050747954942e-09	9.96168972263314e-10	"RUNX3/TNFRSF9/PRDM1/PTPRC/TNFSF13B/RELB/IL4I1/CD79A/JAK3/CDK6/EZH2/GLI3/GATA3/POU2AF1/IFNG/ITGA4/CD2/PTK2B/CD80/CCR2/SASH3/GPR18/IRF1/FGL2/DNAJB9/RARA/PTPN22/IL2RA/IL15RA/KLRC1/CTSL/IRF4/IL21/ARMC5/IRF8/SOX13/ZC3H8/IL2RG/IL18/DCLRE1C/CAMK4/CD8A/BATF/SLAMF8/FCER1G/CD3G/IKZF3/VCAM1/EOMES/CLEC4E/CD3D/IL7R/LGALS9/GPR183/PTPN2/ZNF683/FZD8/CD28/PBX1/LILRB4/FANCA/PLCG2/CD3E/HLA-DRA"	64
"GO:0046651"	"BP"	"GO:0046651"	"lymphocyte proliferation"	"52/1074"	"307/18870"	1.27563339329422e-12	1.16050747954942e-09	9.96168972263314e-10	"FYN/TYROBP/SLC11A1/TNFRSF9/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/CD79A/PIK3CG/PRLR/IGFBP2/HELLS/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/CD180/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/ARMC5/IL18/DLG5/IKZF3/VCAM1/MNDA/IL7R/IL12A/LGALS9/GPR183/MZB1/CD151/CD28/LILRB4/ZP3/CD3E/AIF1/PSMB10/EMP2/HLA-DPB1/HLA-DPA1/LYN/RASSF5/CCL5"	52
"GO:0032943"	"BP"	"GO:0032943"	"mononuclear cell proliferation"	"52/1074"	"314/18870"	3.1219261446268e-12	2.52459760895487e-09	2.16709142320001e-09	"FYN/TYROBP/SLC11A1/TNFRSF9/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/CD79A/PIK3CG/PRLR/IGFBP2/HELLS/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/CD180/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/ARMC5/IL18/DLG5/IKZF3/VCAM1/MNDA/IL7R/IL12A/LGALS9/GPR183/MZB1/CD151/CD28/LILRB4/ZP3/CD3E/AIF1/PSMB10/EMP2/HLA-DPB1/HLA-DPA1/LYN/RASSF5/CCL5"	52
"GO:0070661"	"BP"	"GO:0070661"	"leukocyte proliferation"	"55/1074"	"350/18870"	6.31461416168549e-12	4.5957761868747e-09	3.94497211048457e-09	"FYN/TYROBP/SLC11A1/TNFRSF9/PTPRC/JAK2/CSF2RB/CD40/TNFSF13B/CORO1A/MAPK3/IL4I1/CD79A/PIK3CG/PRLR/IGFBP2/TNFAIP3/HELLS/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/CD180/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/ARMC5/IL18/DLG5/IKZF3/VCAM1/MNDA/IL7R/IL12A/LGALS9/GPR183/MZB1/CD151/CD28/LILRB4/ZP3/CD3E/AIF1/PSMB10/EMP2/HLA-DPB1/HLA-DPA1/LYN/RASSF5/CCL5"	55
