"category"	"subcategory"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"hsa04061"	"Environmental Information Processing"	"Signaling molecules and interaction"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	"25/577"	"100/8842"	3.26330908302945e-09	1.04425890656942e-06	8.03804553083044e-07	"2920/3560/6361/8797/6354/6347/6355/6364/729230/8743/6372/3559/4283/9547/3561/3606/10563/2919/3627/6373/3576/6352/6351/6362/6348"	25
"hsa04658"	"Organismal Systems"	"Immune system"	"hsa04658"	"Th1 and Th2 cell differentiation"	"22/577"	"92/8842"	6.87785353312578e-08	8.31380057308404e-06	6.39943859901863e-06	"864/3459/3595/3717/3560/5595/3551/3718/2625/3458/6772/3559/3561/917/915/3592/84441/916/3122/3115/3113/3112"	22
"hsa04062"	"Organismal Systems"	"Immune system"	"hsa04062"	"Chemokine signaling pathway"	"34/577"	"193/8842"	8.13134389140248e-08	8.31380057308404e-06	6.39943859901863e-06	"7454/2920/3717/5595/6361/3551/3718/5294/6354/6347/6355/6364/6772/2185/729230/6372/5880/4283/9547/10563/653361/58191/115/2919/3627/6373/3576/5336/4893/4067/6352/6351/6362/6348"	34
"hsa05323"	"Human Diseases"	"Immune disease"	"hsa05323"	"Rheumatoid arthritis"	"22/577"	"94/8842"	1.0392250716355e-07	8.31380057308404e-06	6.39943859901863e-06	"2920/10673/6347/3458/6364/533/7043/941/6372/1514/3606/2919/3576/155066/940/3122/3115/4050/3113/3112/6352/6348"	22
"hsa04060"	"Environmental Information Processing"	"Signaling molecules and interaction"	"hsa04060"	"Cytokine-cytokine receptor interaction"	"44/577"	"298/8842"	2.24634885309886e-07	1.43766326598327e-05	1.1066223823687e-05	"9235/3459/608/3604/2920/3595/1439/3560/958/10673/6361/8797/6354/6347/6355/3458/5618/6364/7043/729230/8743/6372/3559/3601/59067/658/4283/9547/3561/3606/10563/3455/58191/2919/3575/3592/3627/6373/3576/4050/6352/6351/6362/6348"	44
"hsa04110"	"Cellular Processes"	"Cell growth and death"	"hsa04110"	"Cell cycle"	"29/577"	"158/8842"	3.01858104974088e-07	1.60990989319514e-05	1.23920695726205e-05	"10926/1870/9319/5933/23594/898/1021/595/1871/7272/6500/991/7043/5111/891/890/6502/113130/1029/9133/4085/5347/81620/699/983/157570/246184/3066/1874"	29
"hsa05340"	"Human Diseases"	"Immune disease"	"hsa05340"	"Primary immunodeficiency"	"13/577"	"38/8842"	4.04068450314128e-07	1.84717005857887e-05	1.42183484772189e-05	"5788/958/973/3718/3561/64421/925/915/6890/3575/4261/916/6891"	13
"hsa05164"	"Human Diseases"	"Infectious disease: viral"	"hsa05164"	"Influenza A"	"29/577"	"172/8842"	1.88133079152536e-06	7.52532316610146e-05	5.79251848969652e-05	"3459/5610/4938/3717/5595/3551/8797/1021/6347/3458/64135/6772/8743/3606/5578/4599/3455/3592/3627/3576/7177/4261/3838/4600/3122/3115/3113/3112/6352"	29
"hsa05169"	"Human Diseases"	"Infectious disease: viral"	"hsa05169"	"Epstein-Barr virus infection"	"32/577"	"203/8842"	2.52890710159547e-06	8.99166969456167e-05	6.9212194359455e-05	"1870/864/960/5610/4938/958/3551/5971/898/3718/1021/595/1871/10213/6772/7128/890/6502/3455/917/915/6890/3627/3066/5336/916/6891/3122/3115/3113/3112/4067"	32
"hsa04659"	"Organismal Systems"	"Immune system"	"hsa04659"	"Th17 cell differentiation"	"21/577"	"108/8842"	5.10451678567642e-06	0.000163344537141645	0.000125732308194556	"3459/3717/3560/5595/3551/3718/2625/3458/6772/5914/3559/3662/59067/3561/917/915/916/3122/3115/3113/3112"	21
