X1	gene_sample	Gene.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
1	TYROBP	TYROBP	ENSG00000011600	-0.537934212472993	8.53341879148658	-4.19465386659732	3.96679482314475e-05	0.0144821836426996	0.311298097678877	down
2	ELN	ELN	ENSG00000049540	0.66867206677718	4.20031907609769	2.85872820831804	0.00466311712306213	0.173220544399701	-4.15616301509774	up
3	GPC1	GPC1	ENSG00000063660	0.649146732550225	3.04643776307488	4.38828172300234	1.77470582308742e-05	0.00941919818602084	1.08075161891677	up
4	MCM10	MCM10	ENSG00000065328	-0.509422336532343	1.72193452752499	-3.73284097763857	0.000241232956920801	0.0356694674438084	-1.40296357102782	down
5	ROGDI	ROGDI	ENSG00000067836	0.556779553267691	3.63118595628318	4.46866307742126	1.26073534693104e-05	0.0079167455865419	1.40873634024928	up
6	PGR	PGR	ENSG00000082175	0.94051459236616	1.75546978786175	3.89245346684794	0.000131649673165437	0.0259052851814174	-0.830096027074965	up
7	KIAA1467	KIAA1467	ENSG00000084444	0.678328158779158	1.59084500176272	3.69812622737175	0.000274481814639584	0.0380726947597159	-1.52476742133	up
8	TMEM40	TMEM40	ENSG00000088726	-0.604262293425412	2.76892815937274	-2.49735660704032	0.01324663696838	0.292683261975987	-5.09670792786054	down
9	BIRC5	BIRC5	ENSG00000089685	-0.58273599180329	4.17360048779945	-3.38121203171583	0.000854217293614491	0.0702768043419748	-2.58983144289928	down
10	LTBP4	LTBP4	ENSG00000090006	0.512351513609122	3.5824957812458	3.15367654258905	0.00183778361455036	0.104945075825165	-3.30142911044231	up
11	CDKN3	CDKN3	ENSG00000100526	-0.521044486865546	3.51211339975077	-3.38946047017625	0.000830176338834595	0.0691999731924851	-2.56319383952924	down
12	NME3	NME3	ENSG00000103024	0.530165671010355	3.34024936507494	4.40679873334452	1.6409559568402e-05	0.00909205432274661	1.15586616856123	up
13	HPN	HPN	ENSG00000105707	0.523923013140174	1.36507748008519	3.64933133267188	0.00032858630955494	0.0427488973337001	-1.69427447130788	up
14	GARS	GARS	ENSG00000106105	-0.509316225063203	5.10283804723579	-3.77142502255669	0.000208754133001048	0.0340189780201293	-1.26640847476522	down
15	AGR2	AGR2	ENSG00000106541	1.09154324048822	4.90226991898075	2.3970201746086	0.0173668545623797	0.334625914653595	-5.33662658883513	up
16	CD5	CD5	ENSG00000110448	-0.67863345413769	3.12881588909084	-3.65496814396114	0.000321857905825118	0.042459999811596	-1.67479467678237	down
17	FOXM1	FOXM1	ENSG00000111206	-0.573277553329005	2.64622070175747	-3.34411822106074	0.000970584670558413	0.0746906137983971	-2.70889917626816	down
18	TTK	TTK	ENSG00000112742	-0.502766628430753	1.36755640753819	-4.6810754999598	4.99467336014335e-06	0.00488980438049313	2.29916304484698	down
19	STC2	STC2	ENSG00000113739	0.5634929435399	1.35519679987564	3.14489838883891	0.00189134267173928	0.105993239117977	-3.32797819691571	up
20	CENPA	CENPA	ENSG00000115163	-0.511277272130592	1.76995809765591	-4.06409788109238	6.7169074925048e-05	0.018285518801561	-0.190812025401427	down
21	MLPH	MLPH	ENSG00000115648	0.869993335108874	2.49749394521918	3.44327693516822	0.000688186742349717	0.0628147137774673	-2.38796595133343	up
22	CD2	CD2	ENSG00000116824	-0.804388175420971	2.97776973503462	-4.37100486078288	1.90888217144539e-05	0.00941919818602084	1.01090699707633	down
23	MND1	MND1	ENSG00000121211	-0.682377208283591	2.33266041172136	-4.59360648486951	7.3414935183139e-06	0.00596129273687088	1.92836395035155	down
24	EEF1E1	EEF1E1	ENSG00000124802	-0.539883464808288	2.38478534394757	-2.16597204778529	0.031390844747013	0.454607387517012	-5.85346247077343	down
25	RAC2	RAC2	ENSG00000128340	-0.521489501395929	4.25805683556781	-3.28180127187646	0.00119989823777422	0.0847232494845798	-2.90625754420127	down
26	KRT17	KRT17	ENSG00000128422	-0.859575937782231	6.23297196197457	-2.20076624188417	0.0287949634653553	0.435906990178602	-5.7788284012942	down
27	CPA4	CPA4	ENSG00000128510	-0.513402752664976	1.8817124142726	-2.40047646566292	0.0172079743225019	0.334499724270224	-5.32851715886952	down
28	H19	H19	ENSG00000130600	0.59473245089552	8.07585841602143	2.77313089238731	0.00602952036966318	0.19526204785754	-4.38966817257789	up
29	RAMP2	RAMP2	ENSG00000131477	0.514493350348142	3.63609270816771	3.32309035431804	0.00104295333107391	0.0782148568156956	-2.77586994691473	up
30	IGJ	IGJ	ENSG00000132465	-0.929574816561355	6.70907562353698	-3.22489613504221	0.00145238326520092	0.094243303880151	-3.08353534482291	down
31	CHI3L1	CHI3L1	ENSG00000133048	-0.893585116719597	3.28708163708176	-3.42219823828433	0.000740853615730989	0.0653394042817728	-2.45689432422289	down
32	PSAT1	PSAT1	ENSG00000135069	-0.802863368672781	1.48424401645345	-5.22757900037997	3.99314963908332e-07	0.00188061375402268	4.74277236516455	down
33	CHAD	CHAD	ENSG00000136457	0.79504585083767	1.02950622544093	3.87103686292382	0.000142956343733139	0.0275929178871145	-0.908180149247907	up
34	KIF12	KIF12	ENSG00000136883	0.584864263701289	1.15401334598627	3.89994251158996	0.00012790012572179	0.0253091778193001	-0.802702719535923	up
35	MMP7	MMP7	ENSG00000137673	-0.75418635036392	3.71244367767343	-2.24610997974819	0.0256927373507166	0.412414846035907	-5.67985851530106	down
36	CEP55	CEP55	ENSG00000138180	-0.578489285994235	1.924732192915	-4.77459904073295	3.28899164023664e-06	0.00408549107909567	2.70194743704651	down
37	SLC40A1	SLC40A1	ENSG00000138449	0.526635406777807	5.3789233390851	2.52104572769299	0.012411097352976	0.281633183637622	-5.03870702193646	up
38	BRCA2	BRCA2	ENSG00000139618	-0.684405470193734	3.31430994109457	-5.16482053491903	5.39224684462008e-07	0.00188123196166372	4.45131499211009	down
39	PCSK6	PCSK6	ENSG00000140479	0.728202370145405	3.0652937903987	3.9462123599943	0.000106888059697928	0.0227877683865788	-0.632442959339792	up
40	IGFBP4	IGFBP4	ENSG00000141753	0.560184426750446	3.57276527077564	3.57070936343972	0.000437376302598424	0.04904446273137	-1.96319546394427	up
41	CXCL14	CXCL14	ENSG00000145824	0.687805948714793	3.34180582082419	2.84020864784443	0.00493223129805623	0.177785439390304	-4.20724282580842	up
42	GFRA1	GFRA1	ENSG00000151892	0.775344210565408	1.68591072563139	3.35567447578389	0.000932834561913952	0.0731931507853306	-2.67193172814243	up
43	CCDC74B	CCDC74B	ENSG00000152076	0.601163539836887	1.56740781423154	2.94641722737446	0.0035616553975138	0.147788301851374	-3.91012802647738	up
44	ZIC1	ZIC1	ENSG00000152977	-0.625272030291734	2.17054848893394	-2.14849960175666	0.0327689914419906	0.462477800704821	-5.89051132832228	down
45	LRP8	LRP8	ENSG00000157193	-0.705956512801609	2.89106223137537	-4.6848802467582	4.91108606792956e-06	0.00488980438049313	2.31542227018197	down
46	CCNB2	CCNB2	ENSG00000157456	-0.690484080362951	3.54432322850257	-4.16329684234525	4.50691672118235e-05	0.0148845901855908	0.189462957263128	down
47	TFF1	TFF1	ENSG00000160182	0.828203752345693	1.92765272585823	2.35482223351122	0.0194136183767981	0.358972819424297	-5.43473995100764	up
48	AKR7A3	AKR7A3	ENSG00000162482	0.635607747051755	1.8434509252133	3.61930402503202	0.000366718803462845	0.0449765332497035	-1.79759433386566	up
49	BOLA3	BOLA3	ENSG00000163170	-0.504249687925624	3.8046001946824	-2.91906377070962	0.00387657138086999	0.155910337961958	-3.98761380299562	down
50	TRAT1	TRAT1	ENSG00000163519	-0.614112621731501	1.61293781456389	-3.85517171338573	0.000151919472680303	0.0285051772324763	-0.965781596004004	down
51	CXCL1	CXCL1	ENSG00000163739	-0.622732853474477	1.94186136382455	-3.70636362590148	0.000266221928862316	0.0378461273267808	-1.49595562608494	down
