X1	gene_sample	Gene.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
1	TYROBP	TYROBP	ENSG00000011600	-0.537934212472993	8.53341879148658	-4.19465386659732	3.96679482314475e-05	0.0144821836426996	0.311298097678877	down
2	CD5	CD5	ENSG00000110448	-0.67863345413769	3.12881588909084	-3.65496814396114	0.000321857905825118	0.042459999811596	-1.67479467678237	down
3	CD2	CD2	ENSG00000116824	-0.804388175420971	2.97776973503462	-4.37100486078288	1.90888217144539e-05	0.00941919818602084	1.01090699707633	down
4	RAC2	RAC2	ENSG00000128340	-0.521489501395929	4.25805683556781	-3.28180127187646	0.00119989823777422	0.0847232494845798	-2.90625754420127	down
5	KRT17	KRT17	ENSG00000128422	-0.859575937782231	6.23297196197457	-2.20076624188417	0.0287949634653553	0.435906990178602	-5.7788284012942	down
6	IGJ	IGJ	ENSG00000132465	-0.929574816561355	6.70907562353698	-3.22489613504221	0.00145238326520092	0.094243303880151	-3.08353534482291	down
7	CHI3L1	CHI3L1	ENSG00000133048	-0.893585116719597	3.28708163708176	-3.42219823828433	0.000740853615730989	0.0653394042817728	-2.45689432422289	down
8	MMP7	MMP7	ENSG00000137673	-0.75418635036392	3.71244367767343	-2.24610997974819	0.0256927373507166	0.412414846035907	-5.67985851530106	down
9	ZIC1	ZIC1	ENSG00000152977	-0.625272030291734	2.17054848893394	-2.14849960175666	0.0327689914419906	0.462477800704821	-5.89051132832228	down
10	TRAT1	TRAT1	ENSG00000163519	-0.614112621731501	1.61293781456389	-3.85517171338573	0.000151919472680303	0.0285051772324763	-0.965781596004004	down
11	CXCL1	CXCL1	ENSG00000163739	-0.622732853474477	1.94186136382455	-3.70636362590148	0.000266221928862316	0.0378461273267808	-1.49595562608494	down
12	CD52	CD52	ENSG00000169442	-0.669441447474338	6.096212908624	-3.68801544883317	0.000284950865209679	0.0389235904472768	-1.56005434372923	down
13	KRT5	KRT5	ENSG00000186081	-0.922646972476631	4.36484056501427	-2.53589172608079	0.0119117322127302	0.274593705477602	-5.00209440988517	down
14	KRT16	KRT16	ENSG00000186832	-0.705565615545331	2.81428523534117	-2.21990819870101	0.0274478063904682	0.425112005850049	-5.73728339139432	down
15	EVL	EVL	ENSG00000196405	-0.502099704074857	5.56268884007181	-3.00515184232338	0.00296312914612289	0.133691308722761	-3.74149361902032	down
16	SERPINB5	SERPINB5	ENSG00000206075	-0.593967500728066	2.84861463837378	-2.02531171919737	0.0440459471698949	0.531349366781089	-6.14353806679734	down
17	APOBEC3G	APOBEC3G	ENSG00000239713	-0.54281545508597	3.22003549484564	-3.61160272698827	0.000377149720062134	0.0456612936145149	-1.82397143787678	down
18	HLA-DOB	HLA-DOB	ENSG00000241106	-0.557382886201236	1.58928476973069	-3.64326214754097	0.000335978876212369	0.0429979922665699	-1.71521870340056	down
19	MIA	MIA	ENSG00000261857	-0.612747102098181	2.41354290955051	-2.45016002368799	0.0150619057909196	0.311318149542001	-5.21072174775429	down
