Mixture	Basal cells	Epithelial	Endothelial	Fibroblasts	Pericytes	Monocyte	Macrophage	T cells	B cells	pDC	P-value	Correlation	RMSE
BA00129	0.0324566964137071	0.321233502797765	0.0255844494123712	0.112126657435458	0.0538730058765496	0.0425782768961146	0.0615359117360125	0.213928285831348	0.0356444269211734	0.1010387866795	0	0.39107631724604	1.0678812249841
BA00130	0	0.364432477863428	0	0.135323546887065	0.0560369737968965	0.0136811057933008	0.186924691921955	0.0544217438884591	0.150053361790652	0.0391260980582436	0	0.249819039368281	1.1729794530189
BA00132	0.0460106058251422	0.267662394501588	0.0239109224938861	0.224585747106206	0.0404885281171789	0	0.138432753522774	0.139639370184577	0.0549638782575758	0.0643057999910721	0	0.413896860080826	1.0447559313924
BA00133	0	0.447760645796195	0.0143675608650378	0.190881485497543	0.137982583087386	0	0.0757379692184654	0.0284403638031152	0.0727599731217091	0.0320694186105483	0	0.329291133218478	1.12108696570488
BA00135	0	0.460171750251758	0	0.207275292930217	0.0907313431793996	0	0.157033976662707	0.0384995346738804	0	0.046288102302038	0	0.518476517051839	0.958308450341967
BA00136	0.0931694794971259	0.317102841724866	0.0213594027353596	0.245870729942118	0.0936144755991092	0.0122332564811369	0.13065142498148	0.0535363702220449	0	0.0324620188167598	0	0.446790581341109	1.02565005603302
BA00137	0	0.624942168018502	0.015638968641078	0.115687394367207	0.0919008058945809	0.00655869154528879	0.0388224140731821	0.0546593642424398	0.0143284229381219	0.0374617702795993	0	0.496777757418079	0.983389858072668
BA00138	0	0.349998943103291	0.0223227596870242	0.105926416588007	0.0502297773009198	0	0.136601978539229	0.125583941495563	0.145651015067337	0.0636851682186289	0	0.543030522465897	0.916393502356042
BA00139	0	0.15634463800862	0.0354109022990684	0.491494623026504	0.0352343143283723	0.021160200645356	0.0727796197216878	0.0906499381413537	0.0497076312209721	0.0472181326080654	0	0.392934067194208	1.06587403866506
BA00140	0	0.446006092271567	0.0286038075674115	0.203734633191187	0.0360251813761441	0	0.0876835250372764	0.113429592588931	0.0301422202907583	0.0543749476767249	0	0.371599631710616	1.08802558147177
BA00141	0.01213662526515	0.211058768649542	0.0740835829368835	0.364782625575329	0.0686920611996995	0	0.100629743512797	0.104705682360174	0.0105476728314838	0.0533632376689418	0	0.422777575203739	1.04271197530447
BA00142	0.0141248789030616	0.639612019649969	0.00320250212591202	0.0544588204164179	0.0988379901094782	0	0	0.0579746986718378	0.0754120497378533	0.0563770403854695	0	0.396794588567393	1.07133144107344
BA00143	0.0522915579918524	0.30716984031819	0.0327206942796298	0.283116156811646	0.0707515697670725	0	0.127769522617313	0.0834303993172083	0	0.042750258897089	0	0.392555503514349	1.07247341664765
BA00145	0	0.599724871958437	0.0323713202311828	0.0186069824368079	0.044540470474905	0	0.137039822859363	0.106594092848859	0	0.0611224391904452	0	0.401047693712743	1.07352308699769
BA00146	0	0.526790774099665	0.0179393817903404	0.0841079504517581	0.0556345638964367	0	0.0645413165350515	0.149888637544242	0.0431461830521093	0.0579511926303969	0	0.299787239182264	1.14944066139182
BA00147	0	0.0850463782533464	0.0179081354067371	0.0580220826700997	0.0468501851110901	0.011482075184829	0.0637120267529126	0.40508385392683	0.191790303454639	0.120104959239516	0	0.585398426213062	0.869359958731189
BA00148	0.0437605156740589	0.479111871939927	0.0240442743803172	0.136926364241066	0.0802363828068818	0.0093621083703384	0.0827857596703735	0.0907274572926114	0.00220303076402713	0.0508422348603992	0	0.352367749786311	1.11096660033632
BA00149	0.10626079190485	0.370013041595383	0.0107191437119901	0.145624381039929	0.041894734393835	0	0.128721044185901	0.140756663015515	0.0146196891366334	0.0413905110159633	0	0.433060529882235	1.03529278236331
BA00150	0	0.425079569685518	0.0270193210817416	0.336428736770844	0.0821205442644379	0	0.0165954682066444	0.0455688623891564	0.0269123817144627	0.0402751158871944	0	0.489678179469082	0.983851595169565
BA00151	0.111016621251447	0.45983575655745	0.0285021494213005	0.143219409712956	0.0586075245660244	0.0462567405811486	0	0.0767528485558899	0.0263704358940573	0.0494385134597275	0	0.26219619557574	1.18509298068028
BA00152	0.0242611260909337	0.570688913518685	0.0281707810076504	0.0805149006915312	0.0420618505610544	0	0.14275801411405	0.0673670037406274	0	0.0441774102754678	0	0.319632989931219	1.14320856681929
BA00161	0	0.629501126530585	0	0.184697752013201	0.0690773549517204	0	0.0505747993146621	0.0335389870214417	0	0.03260998016839	0	0.426407414522777	1.05192482965645
BA00162	0	0.523945553304803	0.00601180951647002	0.165379640379473	0.0554803598589595	0	0.14539594884	0.0646614769036885	0	0.0391252111966063	0	0.493914190817642	0.983418897363947
BA00163	0	0.712964369411476	0	0.0657189318600099	0.0538719504311886	0	0.112303835097518	0.0149348690924464	0	0.040206044107361	0	0.469716714988992	1.01644376824334
BA00165	0	0.402113001264657	0	0.293900156062148	0.0886110661221322	0	0.0891557055780356	0.0376763972340153	0.0408555513417173	0.0476881223972943	0	0.415007945510476	1.04985629097486
BA00167	0.029379857219025	0.344978066270716	0.00587571964812292	0.365249976993351	0.0497147544111916	0.0485444360826523	0.091966638413779	0.0251585239128501	0.00784624078985167	0.0312857862584602	0	0.543741431786827	0.931517819535586
BA00171	0	0.497912491434795	0	0.10644558483509	0.0898692909873159	0.0344738261948944	0.100930308312329	0.0135710953770674	0.123896905735165	0.0329004971233434	0	0.244687578713441	1.18525129814344
BA00175	0.0778018952321377	0.282903926070945	0.0233755177424722	0.20360482263991	0.0923328508040909	0	0.0870173701487896	0	0.195674466908472	0.0372891504531823	0	0.511331248574084	0.944779915466912
BA00216	0.0261548822789338	0.174915163064322	0.113415192941762	0.33840852425308	0.133012121011662	0	0.0576166122090829	0.0592623614112799	0.0682656852560301	0.0289494575738475	0	0.581028055563268	0.885349336099228
BA00217	0	0.131474264865966	0.0268731014708259	0.217642146652651	0.0522449304906714	0	0.130959162781582	0.149267557237317	0.246124905580259	0.0454139309207286	0	0.587700874795028	0.860297950754969
BA00218	0.0498507318392732	0.33204771125204	0.0145677097909977	0.120495254604147	0.0737718571628036	0.0157063033464432	0.0706478207255004	0.159636735193143	0.0723736957559229	0.0909021803297289	0	0.530215571822245	0.935834446731776
BA00219	0.0163880357594623	0.43122642866553	0.0383801765166891	0.15286876802019	0.0723751184252545	0.038525666903298	0.0461925790617136	0.108129865077988	0.0460771537532468	0.0498362078166272	0	0.53891499533938	0.931343597163379
BA00220	0	0.362367850595467	0.0325434642238079	0.0928265871290396	0.0713280328191919	0	0.212852612696943	0.115923928411258	0.0518558028203233	0.0603017213039689	0	0.525494573121828	0.943286330454284
