"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0034976"	"BP"	"GO:0034976"	"response to endoplasmic reticulum stress"	"38/410"	"269/18888"	0.141263940520446	6.50778855743948	13.5525544438549	3.17942293875476e-20	1.38813605506033e-16	1.20483395573864e-16	"XBP1/DERL3/HSP90B1/SDF2L1/SEC61B/ERLEC1/HM13/P4HB/MANF/TMEM258/CAV1/SEL1L/DNAJC3/ERN1/PDIA6/UBE2J1/PDIA4/ATF3/CREB3L2/JUN/HSPA5/HERPUD1/TMED2/AGR2/CHAC1/DNAJB9/BCL2L1/CANX/STC2/HSPA1A/EIF2AK4/FICD/NUPR1/HYOU1/SCAMP5/DERL1/MAN1A1/WFS1"	38
"GO:0002377"	"BP"	"GO:0002377"	"immunoglobulin production"	"32/410"	"194/18888"	0.164948453608247	7.59889363842092	13.7615328554679	2.96514588356189e-19	6.4729134638156e-16	5.61817114780147e-16	"XBP1/MZB1/IGKV3-15/IGKV1-9/IGKV3D-11/IGKV1-12/IGKV4-1/IGKV1-8/IGKV3-20/IGKV1-27/IGKV1D-39/IGLV3-1/IGKV1-5/IGKV1-17/IGKV3D-15/IGKV1-39/IGKV3D-20/IGLV1-40/IGKV1D-8/IGKV1D-13/IGKV3-7/IGKV1-16/IGLV2-23/DNAJB9/IGKV1-6/IGLV1-44/IGKV1D-33/IGLV4-69/IGLV1-47/IGLV6-57/HMCES/IGLV2-14"	32
"GO:0002440"	"BP"	"GO:0002440"	"production of molecular mediator of immune response"	"36/410"	"310/18888"	0.116129032258065	5.34986624704957	11.5027904432101	2.05974625116112e-16	2.99761737752315e-13	2.60178473830878e-13	"XBP1/MZB1/IGKV3-15/IGKV1-9/IGKV3D-11/IGKV1-12/IGKV4-1/IGKV1-8/IGKV3-20/IGKV1-27/IGKV1D-39/IGLV3-1/IGKV1-5/IGKV1-17/IGKV3D-15/IGKV1-39/IGKV3D-20/UBE2J1/IGLV1-40/IGKV1D-8/MIF/IGKV1D-13/IGKV3-7/IGKV1-16/IGLV2-23/DNAJB9/SLC7A5/IGKV1-6/IGLV1-44/IGKV1D-33/IGLV4-69/GATA3/IGLV1-47/IGLV6-57/HMCES/IGLV2-14"	36
"GO:0016064"	"BP"	"GO:0016064"	"immunoglobulin mediated immune response"	"29/410"	"208/18888"	0.139423076923077	6.42298311444653	11.714598835398	1.51817589061276e-15	1.65708898460383e-12	1.43827189636998e-12	"IGHG1/IGHG4/IGKC/IGHG3/IGLL5/IGHV6-1/IGHV3-21/IGHG2/IGHV3-30/IGHV3-73/IGHV3-48/IGHV3-64/IGHV3-23/IGHV1-3/IGHV1-18/IGHV4-39/IGHV3-74/IGLC2/IGHV4-61/IGHV1-69/IGHV3-7/IGHV3-43/IGHV1-24/IGHV3-20/IGHA1/IGLC3/HMCES/IGHV4-59/IGHV3-72"	29
"GO:0019724"	"BP"	"GO:0019724"	"B cell mediated immunity"	"29/410"	"212/18888"	0.136792452830189	6.3017947537966	11.5636475432664	2.5375072127151e-15	2.05610112602813e-12	1.78459484863931e-12	"IGHG1/IGHG4/IGKC/IGHG3/IGLL5/IGHV6-1/IGHV3-21/IGHG2/IGHV3-30/IGHV3-73/IGHV3-48/IGHV3-64/IGHV3-23/IGHV1-3/IGHV1-18/IGHV4-39/IGHV3-74/IGLC2/IGHV4-61/IGHV1-69/IGHV3-7/IGHV3-43/IGHV1-24/IGHV3-20/IGHA1/IGLC3/HMCES/IGHV4-59/IGHV3-72"	29
"GO:0035966"	"BP"	"GO:0035966"	"response to topologically incorrect protein"	"25/410"	"152/18888"	0.164473684210526	7.57702182284981	12.1271451341427	2.82560851034558e-15	2.05610112602813e-12	1.78459484863931e-12	"XBP1/DERL3/ERLEC1/MANF/CAV1/DNAJC3/ERN1/ATF3/CREB3L2/HSPA5/TRAM1/HERPUD1/TMED2/AGR2/CHAC1/DNAJB9/HSPB1/STC2/HSPA1A/FICD/HSPA6/F12/DERL1/WFS1/DNAJC4"	25
"GO:0006986"	"BP"	"GO:0006986"	"response to unfolded protein"	"23/410"	"138/18888"	0.166666666666667	7.6780487804878	11.7282828530617	2.77614600897895e-14	1.73152192502887e-11	1.50287603493597e-11	"XBP1/DERL3/ERLEC1/MANF/DNAJC3/ERN1/ATF3/CREB3L2/HSPA5/TRAM1/HERPUD1/TMED2/AGR2/CHAC1/DNAJB9/HSPB1/STC2/HSPA1A/FICD/HSPA6/DERL1/WFS1/DNAJC4"	23
"GO:0002449"	"BP"	"GO:0002449"	"lymphocyte mediated immunity"	"34/410"	"372/18888"	0.0913978494623656	4.21054287962234	9.31584589451995	1.62540410368095e-12	8.87064289583876e-10	7.69928259638343e-10	"IGHG1/IGHG4/IGKC/IGHG3/IGLL5/IGHV6-1/SLAMF7/IGHV3-21/IGHG2/IGHV3-30/CADM1/IGHV3-73/IGHV3-48/IGHV3-64/IGHV3-23/IGHV1-3/IGHV1-18/IGHV4-39/IGHV3-74/IGLC2/IGHV4-61/IGHV1-69/IGHV3-7/IGHV3-43/EMP2/IGHV1-24/IGHV3-20/GATA3/IGHA1/IGLC3/HMCES/IGHV4-59/IGHV3-72/ICAM1"	34
"GO:0006457"	"BP"	"GO:0006457"	"protein folding"	"26/410"	"225/18888"	0.115555555555556	5.32344715447154	9.71799392230541	3.90297553698783e-12	1.86249443562247e-09	1.61655374502517e-09	"FKBP11/PRDX4/FKBP2/HSP90B1/SDF2L1/LMAN1/DNAJC1/P4HB/PPIB/DNAJC3/PDIA6/PDIA4/HSPA5/SIL1/DNAJB11/HSPB1/CANX/HSPA1A/PDIA5/HSPA6/HYOU1/TBCEL/HSPA1B/TXNDC5/WFS1/DNAJC4"	26
"GO:0002460"	"BP"	"GO:0002460"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"34/410"	"385/18888"	0.0883116883116883	4.06836870446627	9.06072129875716	4.26590571603863e-12	1.86249443562247e-09	1.61655374502517e-09	"IGHG1/IGHG4/IGKC/IGHG3/IGLL5/IGHV6-1/IGHV3-21/IGHG2/IGHV3-30/IGHV3-73/IGHV3-48/IGHV3-64/IGHV3-23/IGHV1-3/IGHV1-18/IGHV4-39/IGHV3-74/IGLC2/IGHV4-61/IGHV1-69/IGHV3-7/TNFAIP3/IGHV3-43/SEMA4A/EMP2/IGHV1-24/IGHV3-20/GATA3/IGHA1/IGLC3/HMCES/IGHV4-59/IGHV3-72/ICAM1"	34
