"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0002181"	"BP"	"GO:0002181"	"cytoplasmic translation"	"110/2240"	"160/18888"	0.6875	5.79709821428571	22.3520503405346	3.16576778778172e-64	2.7469367094582e-60	2.2553596197586e-60	"RPS27/RPS23/RPL19/RPL11/RPL34/RPSA/RPL12/RPL9/RPL32/RPL30/RPS18/RPS27A/RPS12/RPS6/RPS15A/RPS3A/RPL39/RPS25/RPS3/RPL28/RPS14/RPS13/RPL13/RPL23A/RPL37/RPLP2/RPL15/FAU/UBA52/RPL18A/RPL21/RPS9/RPS8/RPL10A/RPS19/RPS7/RPL35A/RPL41/RPL14/RPS15/RPS21/RPL5/RPS29/RPL3/RPS24/RPL29/RPL26/RPS16/RPL22/RPL36/RPL18/RPS28/RPL10/RPS4X/RPS5/RPS2/RPL27/RPS11/RPL24/RPL8/PABPC1/RPL37A/RPL27A/RPL31/RPL38/RPL6/RPL35/RPL4/RPL7A/RPL13A/RPL23/RPLP1/RPL7/RPS20/EIF3E/RPL36A/RPS26/EIF3H/EIF3F/EIF3L/EIF4A2/RPS10/EIF3D/SH3BGRL/RPS17/EIF2S3/CNBP/RPLP0/EIF3K/YBX1/RPL17/EIF3G/SLBP/DHX36/EIF3I/EIF3M/PKM/HNRNPU/NEMF/EIF4A1/MIF4GD/ZC3H15/CSDE1/NCBP2/HNRNPD/YTHDF2/DENR/EIF2B1/YBX3/RBM4"	110
"GO:0008380"	"BP"	"GO:0008380"	"RNA splicing"	"187/2240"	"484/18888"	0.386363636363636	3.25787337662338	18.458253957968	3.49434025080191e-53	1.51601951781041e-49	1.2447207798646e-49	"RPS13/HNRNPA1/PABPC1/NPM1/SF1/HNRNPA2B1/RPS26/DDX5/FUS/EIF1/SRSF7/RSRP1/SRSF5/SNRPD2/LSM7/MBNL1/HNRNPK/HNRNPC/RBM3/CIRBP/CELF2/HNRNPF/SCAF11/YBX1/SYF2/RBM8A/RBMX/RBM39/NCL/SNRPB/THRAP3/PPIG/HSPA8/SON/SRSF3/SRRM1/DDX17/PSIP1/CDC40/KHDRBS1/PRPF38B/CLNS1A/LUC7L3/RBM25/PNN/RNPS1/SRSF10/SFPQ/SETX/PPP2R1A/TRA2B/SRSF11/SF3B1/SAP18/CCNL1/HNRNPM/HNRNPA3/HNRNPH3/CLK1/LSM2/HNRNPU/LSM6/IK/RBM38/MAGOH/LSM8/HNRNPR/TAF15/PRPF40A/SNRPB2/SNRPD3/SF3A2/PTBP3/DDX39A/SNRPF/SNRPA/SNU13/SRSF2/WTAP/SLU7/SNRNP40/RTCB/IWS1/ZMAT2/C9orf78/SF3B4/BCAS2/CDC5L/RBM22/HNRNPUL1/SF3B2/LUC7L2/WDR77/IVNS1ABP/ZRSR2/REST/SNW1/KHDRBS2/LARP7/NONO/CELF1/SMU1/CWF19L2/ZNF638/RBM23/SRPK2/CLK4/STRAP/RP9/PTBP1/BUD31/DDX46/TGS1/RBM5/EIF4A3/SF3A1/UPF3B/C1QBP/SRSF4/TRA2A/CTNNBL1/YTHDC1/SFSWAP/CDK13/SNRPG/CDK12/RBM7/WBP11/SF3A3/ZNF830/CIR1/MFAP1/SNRPE/U2AF1/USP4/THOC2/METTL16/PRMT1/SRSF8/PLRG1/SNRPA1/NCBP2/PHF5A/ZC3H13/PPIH/RBM48/CWC25/PRPF8/CWC22/FRG1/RBM42/NUP98/SF3B6/TADA3/SNRNP70/ZPR1/PPP2CA/HNRNPL/PRPF4/ZBTB7A/PRPF6/POLR2A/PIK3R1/METTL14/PRPF38A/ZNF326/PRPF3/PUF60/RBMX2/PPP4R2/PRPF18/SNRNP200/SMNDC1/SRSF1/RBM15/AQR/PPIL3/PDCD7/RBM4/RRP1B/METTL4/SNRPD1/UPF3A/ATXN7/PRPF31/PPP1R9B/ACIN1"	187
"GO:0022613"	"BP"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	"188/2240"	"499/18888"	0.376753507014028	3.17683939307186	18.0768215239852	1.62796045372683e-51	4.70860428566257e-48	3.8659776669555e-48	"RPS27/RPS23/RPL11/RPSA/RPS12/RPS6/RPS15A/RPS3A/RPS25/RPS14/RPS13/RPL23A/RPS9/RPS8/RPL10A/RPS19/RPS7/RPL35A/RPL14/RPS15/RPS21/RPL5/RPS24/RPL26/RPS16/RPS28/RPL10/RPS4X/RPS5/RPL27/RPS11/RPL38/RPL6/RPL35/RPL7A/RPL13A/NPM1/RPL7/EIF3E/SF1/EIF3H/EIF3F/EIF3L/RSRP1/SRSF5/EIF3D/HSP90AB1/SNRPD2/RAN/NSA2/RPS17/EIF2S3/CELF2/RPLP0/EIF3K/SCAF11/SNRPB/EIF3G/DDX17/PSIP1/FBL/RSL1D1/CLNS1A/RSL24D1/DDX21/LUC7L3/DDX3X/ATM/DNTTIP2/SRSF10/XRCC5/SETX/EIF3I/SF3B1/EIF3M/DDX27/LSM2/LSM6/PTGES3/CHD7/NUP88/SNRPB2/SNRPD3/SF3A2/SNRPF/PWP1/SNU13/TSR2/SLU7/WDR74/RPL7L1/NIFK/RRP7A/SF3B4/UTP18/SF3B2/ADAR/NGDN/NOP58/LUC7L2/WDR77/ZRSR2/NIP7/ZNHIT3/ABT1/KRR1/NOB1/CELF1/PA2G4/C1D/CPSF6/SRPK2/STRAP/DDX46/TGS1/RBM5/EIF4A3/SF3A1/DDX18/AATF/USP36/UTP6/GTF2H5/C1QBP/ISG20/EIF1AX/NOP56/YTHDC1/SFSWAP/SNRPG/WBP11/SF3A3/SNRPE/USP4/METTL16/NOA1/SRFBP1/SBDS/EXOSC3/XRN2/SNRPA1/GTPBP4/PHF5A/EIF6/DCAF13/ESF1/ISG20L2/PRPF8/FRG1/IMP3/EIF2A/YTHDF2/SF3B6/C1orf131/DENR/PRKDC/PRPF6/RIOK3/MRTO4/LYAR/PRPF3/PUF60/RBMX2/KRI1/UTP3/DIMT1/MDN1/PRPF18/DDX54/USP16/SNRNP200/RPF1/NHP2/SRSF1/NOP2/HSP90AA1/ZNHIT6/RRP1B/UTP14A/GRWD1/ZNF622/SNRPD1/WDR46/MTERF4/EXOSC7/PRPF31/EXOSC8/TRMT112"	188
"GO:0000375"	"BP"	"GO:0000375"	"RNA splicing, via transesterification reactions"	"145/2240"	"341/18888"	0.425219941348974	3.58551529116045	17.6730672416589	2.98498057766475e-47	4.42242218333812e-44	3.63100918178517e-44	"HNRNPA1/PABPC1/NPM1/SF1/HNRNPA2B1/DDX5/EIF1/SRSF7/RSRP1/SRSF5/SNRPD2/LSM7/HNRNPK/HNRNPC/RBM3/CIRBP/CELF2/HNRNPF/SCAF11/SYF2/RBM8A/RBMX/RBM39/NCL/SNRPB/THRAP3/HSPA8/SON/SRSF3/SRRM1/DDX17/PSIP1/CDC40/KHDRBS1/CLNS1A/LUC7L3/RBM25/PNN/RNPS1/SRSF10/SFPQ/SETX/TRA2B/SF3B1/SAP18/HNRNPM/HNRNPA3/HNRNPH3/LSM2/HNRNPU/LSM6/IK/MAGOH/LSM8/HNRNPR/PRPF40A/SNRPB2/SNRPD3/SF3A2/DDX39A/SNRPF/SNRPA/SNU13/SRSF2/WTAP/SLU7/SNRNP40/ZMAT2/C9orf78/SF3B4/BCAS2/CDC5L/RBM22/HNRNPUL1/SF3B2/LUC7L2/WDR77/ZRSR2/REST/SNW1/KHDRBS2/LARP7/CELF1/SMU1/CWF19L2/RBM23/SRPK2/STRAP/PTBP1/BUD31/DDX46/TGS1/RBM5/EIF4A3/SF3A1/UPF3B/C1QBP/SRSF4/TRA2A/CTNNBL1/YTHDC1/SFSWAP/CDK13/SNRPG/RBM7/SF3A3/MFAP1/SNRPE/U2AF1/USP4/METTL16/SRSF8/PLRG1/SNRPA1/NCBP2/PHF5A/PPIH/CWC25/PRPF8/CWC22/FRG1/RBM42/NUP98/SF3B6/SNRNP70/HNRNPL/PRPF4/ZBTB7A/PRPF6/METTL14/PRPF38A/PRPF3/PUF60/RBMX2/PRPF18/SNRNP200/SMNDC1/SRSF1/RBM15/AQR/PPIL3/RBM4/SNRPD1/UPF3A/PRPF31"	145
"GO:0000377"	"BP"	"GO:0000377"	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	"144/2240"	"337/18888"	0.427299703264095	3.6030521407376	17.686366521708	3.05803078253184e-47	4.42242218333812e-44	3.63100918178517e-44	"HNRNPA1/PABPC1/NPM1/SF1/HNRNPA2B1/DDX5/EIF1/SRSF7/RSRP1/SRSF5/SNRPD2/LSM7/HNRNPK/HNRNPC/RBM3/CIRBP/CELF2/HNRNPF/SCAF11/SYF2/RBM8A/RBMX/RBM39/NCL/SNRPB/THRAP3/HSPA8/SON/SRSF3/SRRM1/DDX17/PSIP1/CDC40/KHDRBS1/CLNS1A/LUC7L3/RBM25/PNN/RNPS1/SRSF10/SFPQ/SETX/TRA2B/SF3B1/SAP18/HNRNPM/HNRNPA3/HNRNPH3/LSM2/HNRNPU/LSM6/IK/MAGOH/LSM8/HNRNPR/PRPF40A/SNRPB2/SNRPD3/SF3A2/DDX39A/SNRPF/SNRPA/SNU13/SRSF2/WTAP/SLU7/SNRNP40/ZMAT2/C9orf78/SF3B4/BCAS2/CDC5L/RBM22/HNRNPUL1/SF3B2/LUC7L2/WDR77/ZRSR2/REST/SNW1/KHDRBS2/LARP7/CELF1/SMU1/CWF19L2/RBM23/SRPK2/STRAP/PTBP1/BUD31/DDX46/TGS1/RBM5/EIF4A3/SF3A1/UPF3B/C1QBP/SRSF4/TRA2A/CTNNBL1/YTHDC1/SFSWAP/CDK13/SNRPG/RBM7/SF3A3/MFAP1/SNRPE/U2AF1/USP4/METTL16/SRSF8/PLRG1/SNRPA1/NCBP2/PHF5A/PPIH/CWC25/PRPF8/CWC22/FRG1/RBM42/NUP98/SF3B6/SNRNP70/HNRNPL/PRPF4/ZBTB7A/PRPF6/METTL14/PRPF38A/PRPF3/PUF60/RBMX2/PRPF18/SNRNP200/SRSF1/RBM15/AQR/PPIL3/RBM4/SNRPD1/UPF3A/PRPF31"	144
"GO:0000398"	"BP"	"GO:0000398"	"mRNA splicing, via spliceosome"	"144/2240"	"337/18888"	0.427299703264095	3.6030521407376	17.686366521708	3.05803078253184e-47	4.42242218333812e-44	3.63100918178517e-44	"HNRNPA1/PABPC1/NPM1/SF1/HNRNPA2B1/DDX5/EIF1/SRSF7/RSRP1/SRSF5/SNRPD2/LSM7/HNRNPK/HNRNPC/RBM3/CIRBP/CELF2/HNRNPF/SCAF11/SYF2/RBM8A/RBMX/RBM39/NCL/SNRPB/THRAP3/HSPA8/SON/SRSF3/SRRM1/DDX17/PSIP1/CDC40/KHDRBS1/CLNS1A/LUC7L3/RBM25/PNN/RNPS1/SRSF10/SFPQ/SETX/TRA2B/SF3B1/SAP18/HNRNPM/HNRNPA3/HNRNPH3/LSM2/HNRNPU/LSM6/IK/MAGOH/LSM8/HNRNPR/PRPF40A/SNRPB2/SNRPD3/SF3A2/DDX39A/SNRPF/SNRPA/SNU13/SRSF2/WTAP/SLU7/SNRNP40/ZMAT2/C9orf78/SF3B4/BCAS2/CDC5L/RBM22/HNRNPUL1/SF3B2/LUC7L2/WDR77/ZRSR2/REST/SNW1/KHDRBS2/LARP7/CELF1/SMU1/CWF19L2/RBM23/SRPK2/STRAP/PTBP1/BUD31/DDX46/TGS1/RBM5/EIF4A3/SF3A1/UPF3B/C1QBP/SRSF4/TRA2A/CTNNBL1/YTHDC1/SFSWAP/CDK13/SNRPG/RBM7/SF3A3/MFAP1/SNRPE/U2AF1/USP4/METTL16/SRSF8/PLRG1/SNRPA1/NCBP2/PHF5A/PPIH/CWC25/PRPF8/CWC22/FRG1/RBM42/NUP98/SF3B6/SNRNP70/HNRNPL/PRPF4/ZBTB7A/PRPF6/METTL14/PRPF38A/PRPF3/PUF60/RBMX2/PRPF18/SNRNP200/SRSF1/RBM15/AQR/PPIL3/RBM4/SNRPD1/UPF3A/PRPF31"	144
"GO:0042254"	"BP"	"GO:0042254"	"ribosome biogenesis"	"120/2240"	"319/18888"	0.376175548589342	3.17196596506941	14.3508810483609	5.33199440213662e-33	6.60938791819136e-30	5.42660723513694e-30	"RPS27/RPS23/RPL11/RPSA/RPS12/RPS6/RPS15A/RPS3A/RPS25/RPS14/RPS13/RPL23A/RPS9/RPS8/RPL10A/RPS19/RPS7/RPL35A/RPL14/RPS15/RPS21/RPL5/RPS24/RPL26/RPS16/RPS28/RPL10/RPS4X/RPS5/RPL27/RPS11/RPL38/RPL6/RPL35/RPL7A/NPM1/RPL7/RAN/NSA2/RPS17/RPLP0/DDX17/FBL/RSL1D1/RSL24D1/DDX21/DDX3X/DNTTIP2/XRCC5/DDX27/LSM6/CHD7/NUP88/PWP1/SNU13/TSR2/WDR74/RPL7L1/NIFK/RRP7A/UTP18/NGDN/NOP58/NIP7/ZNHIT3/ABT1/KRR1/NOB1/PA2G4/C1D/EIF4A3/DDX18/AATF/USP36/UTP6/GTF2H5/C1QBP/ISG20/EIF1AX/NOP56/WBP11/METTL16/NOA1/SRFBP1/SBDS/EXOSC3/XRN2/GTPBP4/EIF6/DCAF13/ESF1/ISG20L2/FRG1/IMP3/EIF2A/YTHDF2/C1orf131/PRKDC/RIOK3/MRTO4/LYAR/KRI1/UTP3/DIMT1/MDN1/DDX54/USP16/RPF1/NHP2/NOP2/ZNHIT6/RRP1B/UTP14A/GRWD1/ZNF622/WDR46/MTERF4/EXOSC7/EXOSC8/TRMT112"	120
"GO:0002757"	"BP"	"GO:0002757"	"immune response-activating signaling pathway"	"158/2240"	"500/18888"	0.316	2.66455714285714	13.8369677609888	1.08175813432748e-32	1.17330191644494e-29	9.63334085937944e-30	"HLA-DPB1/HLA-DQB1/MS4A1/LAPTM5/HLA-DRB1/RPS3/BANK1/FCMR/PTPRC/HLA-A/CD79B/CD79A/CCR7/CD19/PTPN6/CSK/TRBC2/ELF1/EZR/CD22/MEF2C/LAT2/FOXP1/BLK/HMGB1/TRAF3IP3/CTSS/INPP5D/PCBP2/IGHD/PRKCB/SCIMP/BTK/BIRC3/LYN/AIM2/NFKBID/PHB2/UBE2N/SYK/USP15/NCR3/HSPA8/CD47/CYBA/KHDRBS1/PARP1/TLR10/TRAC/STAP1/PIK3AP1/BLNK/EIF2AK2/DDX3X/MNDA/LPXN/BAX/GRB2/PAK2/OAS1/RAB29/APPL1/LCK/NCKAP1L/MYO1G/NR4A3/PTPN22/TNF/PDE4D/LSM14A/TNIP1/PRNP/PTK2/DDX60/BCL2/RFTN1/CBLB/CASP1/AP3B1/FCRL3/TNIP2/IGHM/NMI/MYD88/PLSCR1/RBCK1/WNK1/CR2/BTN2A2/SKAP1/PLCG2/BANF1/WDFY1/FCGR2B/IRAK4/GBP1/PUM1/BTNL9/MALT1/CYLD/BTN3A2/BCL10/CD81/LYPLAL1/C1QBP/NLRP1/CARD11/PIK3CD/PDE4B/GBP2/CR1/RC3H1/VAV1/OAS3/MAPK1/PLEKHA1/EP300/RIPK2/PAWR/CREBBP/PRKCE/GCSAM/BTN2A1/LRCH4/PSEN1/NAGK/IRF7/ITGAM/PPP2CA/NFATC2/PRKDC/PJA2/MAP3K7/PIK3R1/RIOK3/RELA/EIF2B1/FYN/PDPK1/FCHO1/CD2AP/UNC93B1/NLRC3/SH2B2/BECN1/HSPD1/IKBKG/SLC39A10/TAX1BP1/RNF135/RSAD2/BRAF/FGR/TRAF3/NFKB1/TESPA1/CD3E/ICOSLG"	158
"GO:0002429"	"BP"	"GO:0002429"	"immune response-activating cell surface receptor signaling pathway"	"119/2240"	"332/18888"	0.358433734939759	3.02236445783133	13.6367459511348	1.92236652080907e-30	1.85337492234003e-27	1.52170486699833e-27	"HLA-DPB1/HLA-DQB1/MS4A1/LAPTM5/HLA-DRB1/RPS3/BANK1/FCMR/PTPRC/HLA-A/CD79B/CD79A/CCR7/CD19/PTPN6/CSK/TRBC2/ELF1/EZR/CD22/MEF2C/LAT2/FOXP1/BLK/INPP5D/IGHD/PRKCB/SCIMP/BTK/LYN/NFKBID/UBE2N/SYK/NCR3/CD47/CYBA/KHDRBS1/TRAC/STAP1/PIK3AP1/BLNK/MNDA/LPXN/BAX/GRB2/PAK2/OAS1/RAB29/APPL1/LCK/NCKAP1L/MYO1G/NR4A3/PTPN22/PDE4D/PRNP/PTK2/BCL2/RFTN1/CBLB/FCRL3/TNIP2/IGHM/NMI/MYD88/PLSCR1/RBCK1/WNK1/CR2/BTN2A2/SKAP1/PLCG2/WDFY1/FCGR2B/IRAK4/GBP1/BTNL9/MALT1/CYLD/BTN3A2/BCL10/CD81/CARD11/PIK3CD/PDE4B/CR1/RC3H1/VAV1/MAPK1/PLEKHA1/EP300/RIPK2/PAWR/CREBBP/PRKCE/GCSAM/BTN2A1/PSEN1/ITGAM/NFATC2/PJA2/MAP3K7/PIK3R1/RELA/EIF2B1/FYN/FCHO1/CD2AP/SH2B2/IKBKG/SLC39A10/TAX1BP1/BRAF/FGR/TRAF3/NFKB1/TESPA1/CD3E/ICOSLG"	119
"GO:0050851"	"BP"	"GO:0050851"	"antigen receptor-mediated signaling pathway"	"90/2240"	"208/18888"	0.432692307692308	3.64852335164835	14.088718885282	2.21366808247705e-30	1.92079979516533e-27	1.57706374549523e-27	"HLA-DPB1/HLA-DQB1/MS4A1/LAPTM5/HLA-DRB1/RPS3/BANK1/FCMR/PTPRC/HLA-A/CD79B/CD79A/CCR7/CD19/PTPN6/CSK/TRBC2/ELF1/EZR/CD22/MEF2C/LAT2/FOXP1/BLK/INPP5D/IGHD/PRKCB/BTK/LYN/NFKBID/UBE2N/SYK/KHDRBS1/TRAC/STAP1/BLNK/MNDA/LPXN/BAX/GRB2/RAB29/LCK/NCKAP1L/PTPN22/PDE4D/PRNP/BCL2/RFTN1/CBLB/FCRL3/IGHM/RBCK1/WNK1/BTN2A2/SKAP1/PLCG2/FCGR2B/GBP1/BTNL9/MALT1/CYLD/BTN3A2/BCL10/CD81/CARD11/PIK3CD/PDE4B/RC3H1/MAPK1/PLEKHA1/RIPK2/PAWR/GCSAM/BTN2A1/PSEN1/NFATC2/MAP3K7/RELA/EIF2B1/FYN/FCHO1/CD2AP/SH2B2/IKBKG/SLC39A10/BRAF/NFKB1/TESPA1/CD3E/ICOSLG"	90
