"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0016032"	"BP"	"GO:0016032"	"viral process"	"36/348"	"428/18888"	0.0841121495327103	4.56525942636159	10.2214714563102	2.97432739202519e-14	1.50738912227837e-10	1.06042598703046e-10	"CD209/MRC1/CSF1R/JUN/CR1/WWP1/NRP1/GAS6/CTSB/SIGLEC1/MGAT4A/APOE/HSPA1B/CCL4/CCL3/IFI27/CCL2/HSPA1A/STOM/EPS15/ITGB5/CD4/ST6GAL1/CD74/TPCN1/CLEC4G/SCARB1/ITGAV/CCL8/ICAM1/CD28/ZFP36/NFIA/MVB12B/CD81/CHMP1B"	36
"GO:0044403"	"BP"	"GO:0044403"	"biological process involved in symbiotic interaction"	"30/348"	"311/18888"	0.0964630225080386	5.23561370440182	10.3187002325787	1.34077864757381e-13	3.39753309295203e-10	2.39011435754342e-10	"CD209/MRC1/CSF1R/JUN/CR1/WWP1/NRP1/GAS6/CTSB/SIGLEC1/APOE/HSPA1B/CCL4/CCL3/IFI27/HSPA1A/GPX1/STOM/EPS15/ITGB5/CD4/CD74/TPCN1/CLEC4G/SCARB1/ITGAV/CCL8/ICAM1/CD81/CHMP1B"	30
"GO:0070663"	"BP"	"GO:0070663"	"regulation of leukocyte proliferation"	"27/348"	"267/18888"	0.101123595505618	5.48857032158078	10.1199510408034	7.61342099860429e-13	1.28616058736422e-09	9.04794979728867e-10	"CD209/IGF1/CSF1R/IL2RA/CR1/VSIG4/FCGR3A/TYROBP/TGFBR2/PRNP/TNFRSF21/ST6GAL1/AIF1/CD74/CLEC4G/IL10/EBI3/NFATC2/MEF2C/CCL8/BCL2L1/CD28/CD81/TLR4/HES1/IL18/FCGR2B"	27
"GO:0019058"	"BP"	"GO:0019058"	"viral life cycle"	"29/348"	"319/18888"	0.0909090909090909	4.93416927899687	9.70890772280528	1.55737143780669e-12	1.97318961170108e-09	1.38810975259244e-09	"CD209/MRC1/CR1/WWP1/NRP1/GAS6/CTSB/SIGLEC1/APOE/HSPA1B/IFI27/CCL2/HSPA1A/STOM/EPS15/ITGB5/CD4/CD74/TPCN1/CLEC4G/SCARB1/ITGAV/CCL8/ICAM1/CD28/NFIA/MVB12B/CD81/CHMP1B"	29
"GO:0097529"	"BP"	"GO:0097529"	"myeloid leukocyte migration"	"25/348"	"239/18888"	0.104602510460251	5.67739142980811	9.96990772548654	2.60519288000984e-12	2.64062350317797e-09	1.85763963886175e-09	"CSF1R/LGMN/CCL13/CCL4/CCL3/CCL2/CXCL12/CMKLR1/ITGA9/MMP14/AIF1/CD74/SIRPA/CD99/PREX1/CD200R1/CCL8/TRPV4/EMP2/DUSP1/C5AR1/CXCL2/CCL3L3/CD81/TNFRSF11A"	25
"GO:0032944"	"BP"	"GO:0032944"	"regulation of mononuclear cell proliferation"	"25/348"	"241/18888"	0.103734439834025	5.63027614823294	9.91122136416505	3.13823748959888e-12	2.65076459954785e-09	1.86477375039849e-09	"CD209/IGF1/IL2RA/CR1/VSIG4/FCGR3A/TYROBP/TGFBR2/PRNP/TNFRSF21/ST6GAL1/AIF1/CD74/CLEC4G/IL10/EBI3/NFATC2/MEF2C/BCL2L1/CD28/CD81/TLR4/HES1/IL18/FCGR2B"	25
"GO:0046718"	"BP"	"GO:0046718"	"symbiont entry into host cell"	"20/348"	"156/18888"	0.128205128205128	6.95844385499558	10.2380989655217	1.01803734233498e-11	7.37059035850527e-09	5.18510147141141e-09	"CD209/MRC1/CR1/WWP1/NRP1/GAS6/CTSB/SIGLEC1/HSPA1B/HSPA1A/EPS15/ITGB5/CD4/CD74/TPCN1/CLEC4G/SCARB1/ITGAV/ICAM1/CD81"	20
"GO:0050900"	"BP"	"GO:0050900"	"leukocyte migration"	"31/348"	"396/18888"	0.0782828282828283	4.2488679902473	8.95166792467451	1.29190672108471e-11	8.18422907807164e-09	5.75748429514989e-09	"LYVE1/CSF1R/LGMN/GAS6/NINJ1/CCL13/CCL4/CCL3/CCL2/EPS8/CXCL12/CMKLR1/ITGA9/MMP14/AIF1/CD74/SIRPA/IL10/CD99/PREX1/CD200R1/CCL8/TRPV4/EMP2/DUSP1/ICAM1/C5AR1/CXCL2/CCL3L3/CD81/TNFRSF11A"	31
"GO:1903706"	"BP"	"GO:1903706"	"regulation of hemopoiesis"	"32/348"	"424/18888"	0.0754716981132075	4.09629147690306	8.83442152035104	1.55510787179322e-11	8.75698521583113e-09	6.16040977984049e-09	"C1QC/RB1/ZFP36L1/TMEM176A/IL2RA/CR1/GAS6/FOS/TMEM176B/MAFB/HSPA1B/HIF1A/CCL3/HSPA1A/TYROBP/TGFBR2/CD4/RUNX1/MMP14/CD74/QKI/CLEC4G/IL10/MEF2C/HLA-DOA/CD28/ZFP36/TLR4/JUNB/IL18/FCGR2B/TNFRSF11A"	32
"GO:0070661"	"BP"	"GO:0070661"	"leukocyte proliferation"	"29/348"	"352/18888"	0.0823863636363636	4.47159090909091	9.00757964837383	1.77318371900409e-11	8.98649508791273e-09	6.32186658554405e-09	"CD209/IGF1/CSF1R/IL2RA/CR1/VSIG4/FCGR3A/TYROBP/TGFBR2/PRNP/TNFRSF21/ST6GAL1/AIF1/CD74/CLEC4G/IL10/EBI3/NFATC2/MEF2C/CCL8/BCL2L1/EMP2/CD28/CD81/TLR4/JUNB/HES1/IL18/FCGR2B"	29
