"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0002181"	"BP"	"GO:0002181"	"cytoplasmic translation"	"91/891"	"160/18888"	0.56875	12.056734006734	31.2508213855891	2.24514458217957e-78	1.37672265779251e-74	1.16393021760362e-74	"RPS2/RPS29/RPL26/PKM/RPL10A/RPL37A/RPL7/RPL41/RPS17/RPL4/RPS11/RPSA/RPS18/RPL6/RPS15A/RPL27A/RPL36A/RPL3/RPL23A/RPL21/UBA52/RPL34/RPL35A/RPL27/RPS27/EIF3K/RPS14/RPL37/RPL23/RPS3/RPL38/RPL22/RPS10/RPL9/RPL31/RPS9/RPS19/RPL35/RPL5/RPS6/RPS8/RPS7/EIF3I/RPS20/RPLP2/EIF3L/EIF3M/RPL14/RPL11/RPL13A/EIF3H/RPS3A/RPL39/RPL15/RPS16/EIF3F/RPS4X/RPL18A/RPS21/RPL24/RPL32/RPL8/RPS5/RPL7A/RPL10/RPS12/FAU/YBX1/RPLP0/RPS23/RPL28/RPL19/EIF2S2/RPS25/HNRNPD/EIF3E/ZNF385A/RPS27A/RPS24/EIF3A/PABPC1/EIF3G/RPL18/RPS15/RPL29/RPL17/RPL30/RPS13/SYNCRIP/RPL36/CNBP"	91
"GO:0022613"	"BP"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	"89/891"	"499/18888"	0.178356713426854	3.78092211358744	14.0081352364525	4.04451252348223e-28	1.24004753969965e-24	1.04838021990263e-24	"RPL26/RPL10A/RPL7/RPS17/RPS11/RPSA/RPL6/RPS15A/RPL23A/RPL35A/RPL27/RPS27/EIF3K/RPS14/RPL38/EIF6/RAN/RPS9/RPS19/RPL35/RPL5/SNRPF/RPS6/RPS8/RPS7/EIF3I/EIF3L/EIF3M/RPL14/RPL11/SNRPB/RPL13A/ISG20/EIF3H/RPS3A/SNRPD3/RPS16/EIF3F/RPS4X/SNRPE/RPS21/LSM6/SRSF9/RPS5/DDX21/RPL7A/C1QBP/RPL10/SNRPD2/RPS12/FBL/NPM1/XRCC5/RPLP0/SNU13/RPS23/EIF2S2/RPS25/EIF3E/SNRPB2/SF3B5/FRG1/EIF5B/STRAP/NHP2/RPS24/EIF3A/PUF60/PA2G4/RSL24D1/GTPBP4/MRPL20/EIF3G/SNRPD1/RPS15/IMP4/SNRPG/MRPS7/MRTO4/EIF2A/PRPF6/NUP88/RRP7A/EIF1AX/RPS13/EXOSC7/DDX46/NOP58/CLNS1A"	89
"GO:0009060"	"BP"	"GO:0009060"	"aerobic respiration"	"55/891"	"199/18888"	0.276381909547739	5.85892425088405	15.3318272996107	1.99924880566072e-27	4.08646455877051e-24	3.45484223434353e-24	"COX7C/COX7A2/PARK7/NDUFA11/COX7B/COX6A1/COX4I1/BID/UQCRH/BLOC1S1/GHITM/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/ACO2/UQCRB/UQCRC1/DGUOK/COX6B1/PPIF/NDUFC2/UQCRFS1/COX6C/MDH1/IDH3B/MDH2/NDUFA1/NDUFA12/SDHC/CYCS/NDUFA13/SUCLG1/NDUFS5/DNAJC15/NDUFB3/NDUFA9/PDHA1/COX5A/COX7A2L/UQCRC2/IDH3G/NDUFB1/SLC25A33/SDHD/NDUFA4/NDUFB6/CAT/NDUFV1/NDUFAB1/NDUFS6/PDHB/COX8A/ADSL"	55
"GO:0042773"	"BP"	"GO:0042773"	"ATP synthesis coupled electron transport"	"40/891"	"102/18888"	0.392156862745098	8.31319733280518	16.478227820746	8.69337701462475e-27	1.06615575707358e-23	9.01365932568987e-24	"COX7C/COX7A2/PARK7/COX7B/COX6A1/COX4I1/BID/UQCRH/GHITM/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/UQCRB/UQCRC1/DGUOK/COX6B1/NDUFC2/UQCRFS1/COX6C/NDUFA1/NDUFA12/SDHC/CYCS/NDUFS5/DNAJC15/NDUFB3/NDUFA9/COX5A/COX7A2L/UQCRC2/NDUFB1/SDHD/NDUFA4/NDUFB6/NDUFV1/NDUFAB1/NDUFS6/COX8A"	40
"GO:0042775"	"BP"	"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	"40/891"	"102/18888"	0.392156862745098	8.31319733280518	16.478227820746	8.69337701462475e-27	1.06615575707358e-23	9.01365932568987e-24	"COX7C/COX7A2/PARK7/COX7B/COX6A1/COX4I1/BID/UQCRH/GHITM/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/UQCRB/UQCRC1/DGUOK/COX6B1/NDUFC2/UQCRFS1/COX6C/NDUFA1/NDUFA12/SDHC/CYCS/NDUFS5/DNAJC15/NDUFB3/NDUFA9/COX5A/COX7A2L/UQCRC2/NDUFB1/SDHD/NDUFA4/NDUFB6/NDUFV1/NDUFAB1/NDUFS6/COX8A"	40
"GO:0045333"	"BP"	"GO:0045333"	"cellular respiration"	"59/891"	"245/18888"	0.240816326530612	5.10498179069608	14.3898630662549	6.97485101111416e-26	7.12829773335868e-23	6.02651600521706e-23	"COX7C/COX7A2/PARK7/NDUFA11/COX7B/COX6A1/COX4I1/BID/UQCRH/BLOC1S1/GHITM/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/ACO2/UQCRB/UQCRC1/PRELID1/DGUOK/COX6B1/PPIF/NDUFC2/UQCRFS1/COX6C/MDH1/IDH3B/MDH2/NDUFA1/NDUFA12/SDHC/CYCS/NDUFA13/SUCLG1/NDUFS5/DNAJC15/NDUFB3/NDUFA9/PDHA1/COX5A/COX7A2L/UQCRC2/ETFA/IDH3G/NDUFB1/SLC25A33/SDHD/NDUFA4/NDUFB6/CAT/NDUFV1/NDUFAB1/ETFB/NDUFS6/PDHB/TRAP1/COX8A/ADSL"	59
"GO:0022904"	"BP"	"GO:0022904"	"respiratory electron transport chain"	"42/891"	"123/18888"	0.341463414634146	7.23856450685719	15.444833301351	3.00230080300296e-25	2.6300155034306e-22	2.22350848944205e-22	"COX7C/COX7A2/PARK7/COX7B/COX6A1/COX4I1/BID/UQCRH/GHITM/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/UQCRB/UQCRC1/DGUOK/COX6B1/NDUFC2/UQCRFS1/COX6C/NDUFA1/NDUFA12/SDHC/CYCS/NDUFS5/DNAJC15/NDUFB3/NDUFA9/COX5A/COX7A2L/UQCRC2/ETFA/NDUFB1/SDHD/NDUFA4/NDUFB6/NDUFV1/NDUFAB1/ETFB/NDUFS6/COX8A"	42
"GO:0022900"	"BP"	"GO:0022900"	"electron transport chain"	"49/891"	"175/18888"	0.28	5.9356228956229	14.5951838360452	7.75894659897344e-25	5.94723256811314e-22	5.02800157894003e-22	"CYBA/ALDH2/COX7C/COX7A2/PARK7/NCF2/COX7B/COX6A1/COX4I1/BID/UQCRH/GHITM/IDO1/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/UQCRB/UQCRC1/DGUOK/COX6B1/NDUFC2/UQCRFS1/COX6C/IDH3B/NDUFA1/NDUFA12/SDHC/CYCS/NDUFS5/DNAJC15/NDUFB3/NDUFA9/COX5A/COX7A2L/UQCRC2/ETFA/NDUFB1/SDHD/NDUFA4/NDUFB6/NDUFV1/NDUFAB1/POR/ETFB/NDUFS6/FDX1/COX8A"	49
"GO:0006119"	"BP"	"GO:0006119"	"oxidative phosphorylation"	"44/891"	"148/18888"	0.297297297297297	6.3023023023023	14.4089001885363	1.35742053557233e-23	9.24855858236615e-21	7.81905981016811e-21	"COX7C/COX7A2/PARK7/NDUFA11/COX7B/COX6A1/COX4I1/BID/UQCRH/GHITM/CYC1/NDUFB8/CHCHD2/NDUFB9/NDUFA6/UQCRB/UQCRC1/DGUOK/COX6B1/PPIF/NDUFC2/UQCRFS1/COX6C/NDUFA1/NDUFA12/SDHC/CYCS/NDUFA13/NDUFS5/DNAJC15/NDUFB3/NDUFA9/COX5A/COX7A2L/UQCRC2/NDUFB1/SLC25A33/SDHD/NDUFA4/NDUFB6/NDUFV1/NDUFAB1/NDUFS6/COX8A"	44
"GO:0019646"	"BP"	"GO:0019646"	"aerobic electron transport chain"	"35/891"	"94/18888"	0.372340425531915	7.89311555269002	14.9069967999792	1.05170136828819e-22	6.44903279034316e-20	5.45224130402033e-20	"COX7C/COX7A2/PARK7/COX7B/COX6A1/COX4I1/UQCRH/CYC1/NDUFB8/NDUFB9/NDUFA6/UQCRB/UQCRC1/COX6B1/NDUFC2/UQCRFS1/COX6C/NDUFA1/SDHC/CYCS/NDUFS5/DNAJC15/NDUFB3/NDUFA9/COX5A/COX7A2L/UQCRC2/NDUFB1/SDHD/NDUFA4/NDUFB6/NDUFV1/NDUFAB1/NDUFS6/COX8A"	35
