"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006986"	"BP"	"GO:0006986"	"response to unfolded protein"	"25/404"	"138/18888"	0.181159420289855	8.46965131295738	13.0200732984918	1.88310116555351e-16	9.44563544641642e-13	7.44716955682584e-13	"HSPA1A/PPP1R15A/HSPH1/DNAJB1/HSPE1/HSP90AB1/HSPD1/DNAJA1/SERP1/HSPA8/HSP90AA1/DNAJB4/HSPB1/HSPA4/RHBDD2/DDIT3/DNAJB9/BAG3/SERPINH1/HSPA6/XBP1/PPP1R15B/ATF3/HSPA5/HSPA2"	25
"GO:0035966"	"BP"	"GO:0035966"	"response to topologically incorrect protein"	"25/404"	"152/18888"	0.164473684210526	7.68955184992183	12.2420619293953	2.01057698905886e-15	5.04252708855962e-12	3.97565144626007e-12	"HSPA1A/PPP1R15A/HSPH1/DNAJB1/HSPE1/HSP90AB1/HSPD1/DNAJA1/SERP1/HSPA8/HSP90AA1/DNAJB4/HSPB1/HSPA4/RHBDD2/DDIT3/DNAJB9/BAG3/SERPINH1/HSPA6/XBP1/PPP1R15B/ATF3/HSPA5/HSPA2"	25
"GO:0006457"	"BP"	"GO:0006457"	"protein folding"	"29/404"	"225/18888"	0.128888888888889	6.02587458745875	11.2120847304992	8.49328814666263e-15	1.42007777812199e-11	1.11962398480742e-11	"HSPA1A/HSPH1/DNAJB1/HSPA1B/HSPE1/HSP90AB1/HSPD1/DNAJA1/HSPA8/PTGES3/HSP90AA1/CCT4/FKBP4/AHSA1/DNAJB4/HSPB1/HSPA4/DNAJB6/CHORDC1/BAG3/TCP1/NUDC/HSPA6/ERO1B/ST13/GRPEL1/HSPA5/HSPA2/DNAJA2"	29
"GO:0061077"	"BP"	"GO:0061077"	"chaperone-mediated protein folding"	"18/404"	"75/18888"	0.24	11.2205940594059	13.1114866199725	1.88937625736902e-14	2.36927782674075e-11	1.86799647340405e-11	"HSPA1A/HSPH1/DNAJB1/HSPA1B/HSPE1/HSPA8/PTGES3/CCT4/FKBP4/DNAJB4/HSPB1/DNAJB6/CHORDC1/TCP1/HSPA6/ST13/HSPA5/HSPA2"	18
"GO:0051085"	"BP"	"GO:0051085"	"chaperone cofactor-dependent protein refolding"	"12/404"	"32/18888"	0.375	17.5321782178218	13.8373993692924	1.19654786831376e-12	1.20037682149237e-09	9.46406387632593e-10	"HSPA1A/HSPH1/DNAJB1/HSPA1B/HSPE1/HSPA8/PTGES3/DNAJB4/HSPA6/ST13/HSPA5/HSPA2"	12
"GO:0006458"	"BP"	"GO:0006458"	"'de novo' protein folding"	"13/404"	"41/18888"	0.317073170731707	14.8239555662883	13.1001821735674	1.65805201904633e-12	1.38613148792273e-09	1.09285990097492e-09	"HSPA1A/HSPH1/DNAJB1/HSPA1B/HSPE1/HSPD1/HSPA8/PTGES3/DNAJB4/HSPA6/ST13/HSPA5/HSPA2"	13
"GO:0042026"	"BP"	"GO:0042026"	"protein refolding"	"11/404"	"27/18888"	0.407407407407407	19.047304730473	13.8735009690284	3.59068469654089e-12	2.57298206254987e-09	2.02860186539911e-09	"HSPA1A/HSPA1B/HSPD1/DNAJA1/HSPA8/HSP90AA1/HSPB1/HSPA6/HSPA5/HSPA2/DNAJA2"	11
"GO:0002181"	"BP"	"GO:0002181"	"cytoplasmic translation"	"22/404"	"160/18888"	0.1375	6.42846534653465	10.194491158746	4.2316257492611e-12	2.65322934478671e-09	2.09187078157552e-09	"RPL8/RPL18/RPLP1/RPS28/RPS15/RPL13/RPL28/RPL18A/RPS5/EIF5/RPL36/RPL22L1/RPS21/SLBP/RPS13/RPL39/FAU/RPL29/RPLP0/RPL30/PABPC1/RPS12"	22
"GO:0009408"	"BP"	"GO:0009408"	"response to heat"	"18/404"	"104/18888"	0.173076923076923	8.09177456207159	10.7214060471761	7.4410015019815e-12	4.14711817043769e-09	3.2696891980052e-09	"HSPA1A/DNAJB1/HSPA1B/HSP90AB1/CDKN1A/DNAJA1/HSP90AA1/DNAJB4/HSPB1/SOD1/DNAJB6/CHORDC1/BAG3/HSPA6/STAC/IER5/HSPA2/DNAJA2"	18
"GO:0051084"	"BP"	"GO:0051084"	"'de novo' post-translational protein folding"	"12/404"	"37/18888"	0.324324324324324	15.1629649451432	12.7485865973554	8.91270369390331e-12	4.4706121728619e-09	3.52473976610471e-09	"HSPA1A/HSPH1/DNAJB1/HSPA1B/HSPE1/HSPA8/PTGES3/DNAJB4/HSPA6/ST13/HSPA5/HSPA2"	12
"GO:0009266"	"BP"	"GO:0009266"	"response to temperature stimulus"	"21/404"	"172/18888"	0.122093023255814	5.70815104766291	9.17027343562289	1.2899894153977e-10	5.88235173421351e-08	4.63778969727192e-08	"HSPA1A/DNAJB1/HSPA1B/HSP90AB1/HSPD1/CDKN1A/DNAJA1/HSP90AA1/DNAJB4/HSPB1/SOD1/NFKBIA/DNAJB6/CIRBP/CHORDC1/BAG3/HSPA6/STAC/IER5/HSPA2/DNAJA2"	21
