"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0002181"	"BP"	"GO:0002181"	"cytoplasmic translation"	"37/432"	"160/18888"	0.23125	10.1107638888889	17.7061302870988	9.2633110648933e-27	4.04065628650646e-23	3.26068549484244e-23	"RPL13A/RPS29/RPL27A/RPS17/RPL31/RPL21/RPS20/RPL23A/RPL37A/RPL7/RPS11/RPL23/RPL26/UBA52/RPS6/RPL38/RPL27/RPS27/RPS15A/RPL10A/RPL15/RPSA/RPS2/RPS10/RPL34/RPL35/RPS18/RPS14/RPL41/RPL36A/RPL9/RPS25/RPS16/RPL37/RPL4/RPL6/RPL35A"	37
"GO:0050863"	"BP"	"GO:0050863"	"regulation of T cell activation"	"44/432"	"382/18888"	0.115183246073298	5.03606748109366	12.1923773134246	8.07930253972667e-19	1.76209588391439e-15	1.42195724699189e-15	"B2M/CCL5/CD2/ZNF683/HLA-DPA1/CORO1A/IL2RG/HLA-DRA/HLA-DPB1/SIT1/HMGB1/LCK/HLA-DRB1/LAG3/RAC2/LGALS1/HLA-DRB5/CD3E/CD27/HLA-DQB1/LAPTM5/HLA-A/DOCK8/RUNX3/SASH3/PYCARD/LAT/SPN/SIRPG/PTPRC/PTPN6/HLA-DMA/CRTAM/HLA-DQA1/HAVCR2/HLA-DMB/LGALS3/PRDM1/CD74/CD6/JAK3/ADA/PAG1/ANXA1"	44
"GO:0007159"	"BP"	"GO:0007159"	"leukocyte cell-cell adhesion"	"45/432"	"419/18888"	0.107398568019093	4.69570405727924	11.7040745762482	4.95288941110745e-18	7.20150120375023e-15	5.81139024236607e-15	"B2M/CCL5/HLA-DPA1/CORO1A/IL2RG/HLA-DRA/HLA-DPB1/HMGB1/LCK/HLA-DRB1/LAG3/RAC2/LGALS1/ITGB7/MSN/HLA-DRB5/ITGB2/CD3E/SELPLG/CD27/HLA-DQB1/ITGB1/LAPTM5/HLA-A/DOCK8/RUNX3/SASH3/PYCARD/SPN/SIRPG/PTPRC/PTPN6/HLA-DMA/CRTAM/HLA-DQA1/HAVCR2/HLA-DMB/LGALS3/CD74/FERMT3/CD6/JAK3/ADA/PAG1/ANXA1"	45
"GO:0050852"	"BP"	"GO:0050852"	"T cell receptor signaling pathway"	"26/432"	"146/18888"	0.178082191780822	7.78614916286149	12.5934996765044	3.64748479766242e-16	3.97758217185087e-13	3.20978662194293e-13	"CD3D/TRAC/CD3G/CD8A/CD8B/HLA-DPB1/LCK/TRGC2/HLA-DRB1/CD3E/TRBC2/HLA-DQB1/BTN3A2/LAPTM5/HLA-A/LAT/LCP2/THEMIS/PTPRC/PTPN6/UBASH3A/LGALS3/INPP5D/GBP1/SLA2/ADA"	26
"GO:0050870"	"BP"	"GO:0050870"	"positive regulation of T cell activation"	"32/432"	"253/18888"	0.126482213438735	5.53008344312692	11.0982968420445	3.86039877476693e-15	3.36781189110667e-12	2.71772073743592e-12	"B2M/CCL5/HLA-DPA1/CORO1A/IL2RG/HLA-DRA/HLA-DPB1/HMGB1/LCK/HLA-DRB1/LGALS1/HLA-DRB5/CD3E/CD27/HLA-DQB1/HLA-A/DOCK8/RUNX3/SASH3/PYCARD/SPN/SIRPG/PTPRC/PTPN6/HLA-DMA/HLA-DQA1/HAVCR2/HLA-DMB/CD74/CD6/ADA/ANXA1"	32
"GO:1903037"	"BP"	"GO:1903037"	"regulation of leukocyte cell-cell adhesion"	"39/432"	"382/18888"	0.102094240837696	4.46378708551483	10.4636008386362	5.02442718280947e-15	3.65275856190249e-12	2.94766394724823e-12	"B2M/CCL5/HLA-DPA1/CORO1A/IL2RG/HLA-DRA/HLA-DPB1/HMGB1/LCK/HLA-DRB1/LAG3/LGALS1/HLA-DRB5/ITGB2/CD3E/CD27/HLA-DQB1/LAPTM5/HLA-A/DOCK8/RUNX3/SASH3/PYCARD/SPN/SIRPG/PTPRC/PTPN6/HLA-DMA/CRTAM/HLA-DQA1/HAVCR2/HLA-DMB/LGALS3/CD74/CD6/JAK3/ADA/PAG1/ANXA1"	39
"GO:0050851"	"BP"	"GO:0050851"	"antigen receptor-mediated signaling pathway"	"29/432"	"208/18888"	0.139423076923077	6.09588675213675	11.3062236561379	5.9307020381819e-15	3.69567461293564e-12	2.98229588205719e-12	"CD3D/TRAC/CD3G/CD8A/CD8B/HLA-DPB1/LCK/TRGC2/HLA-DRB1/CD3E/IGKC/TRBC2/HLA-DQB1/BTN3A2/CMTM3/LAPTM5/HLA-A/LAT/LCP2/THEMIS/PTPRC/PTPN6/LPXN/UBASH3A/LGALS3/INPP5D/GBP1/SLA2/ADA"	29
"GO:1903039"	"BP"	"GO:1903039"	"positive regulation of leukocyte cell-cell adhesion"	"33/432"	"277/18888"	0.11913357400722	5.20878459687124	10.7960851731464	8.27194158415505e-15	4.51027614876054e-12	3.63965429702822e-12	"B2M/CCL5/HLA-DPA1/CORO1A/IL2RG/HLA-DRA/HLA-DPB1/HMGB1/LCK/HLA-DRB1/LGALS1/HLA-DRB5/ITGB2/CD3E/CD27/HLA-DQB1/HLA-A/DOCK8/RUNX3/SASH3/PYCARD/SPN/SIRPG/PTPRC/PTPN6/HLA-DMA/HLA-DQA1/HAVCR2/HLA-DMB/CD74/CD6/ADA/ANXA1"	33
"GO:0002495"	"BP"	"GO:0002495"	"antigen processing and presentation of peptide antigen via MHC class II"	"14/432"	"35/18888"	0.4	17.4888888888889	14.9379070492831	1.30282446810871e-14	6.31435592210019e-12	5.09549125304738e-12	"B2M/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/CTSD/HLA-DRB5/HLA-DQB1/PYCARD/CTSS/HLA-DMA/HLA-DQA1/HLA-DMB/CD74"	14
"GO:0002504"	"BP"	"GO:0002504"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	"14/432"	"37/18888"	0.378378378378378	16.5435435435435	14.4789901373842	3.28939435448763e-14	1.4348338174275e-11	1.15786681277965e-11	"B2M/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/CTSD/HLA-DRB5/HLA-DQB1/PYCARD/CTSS/HLA-DMA/HLA-DQA1/HLA-DMB/CD74"	14
