"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CD52"	2.46723208422265	1.13072184046579	172.042764618449	0	0	5623.55699302074
"HLA-DRA"	2.653111945025	1.94652389781679	77.8715510106495	0	0	2142.84615144213
"HLA-DPA1"	2.07002764313683	1.56039461358221	74.3287692144289	0	0	1998.82767985027
"HLA-DPB1"	2.09143066518526	1.42663233984687	74.0257166782297	0	0	1986.53257148466
"CD37"	1.80774113940615	1.33926192191056	67.9607586855579	0	0	1741.79625319819
"CD74"	2.01730477838297	3.54305364769082	65.4068444027636	0	0	1639.78783148415
"HLA-DQB1"	1.66264709133328	1.1119442240352	63.9029154214183	0	0	1580.10871542099
"MS4A1"	1.64755244320115	1.02588502067643	62.922698264141	0	0	1541.38910819776
"LAPTM5"	1.59486947716559	1.11893456778147	62.2082961578588	0	0	1513.26481971567
"RPS27"	1.69622235240216	3.0548311321488	61.3119172510724	0	0	1478.09730642082
"HLA-DRB1"	1.771089367583	1.40834109537262	60.7767136568732	0	0	1457.16698338497
"HLA-DQA1"	1.57758468413793	1.06273796222645	60.6195493802028	0	0	1451.03061451959
"TMSB4X"	1.76043058547381	3.03131295498412	58.7952339761925	0	0	1380.14818591553
"RPS23"	1.51087681399207	3.06011126475872	57.7132447009493	0	0	1338.42958784203
"BTG1"	1.8749408788768	1.95301473501116	57.4542032798539	0	0	1328.47943809562
"RPL19"	1.33791661093828	3.18060257278967	56.2921396309381	0	0	1284.03144385765
"RPL11"	1.38938512401856	3.09149654795229	55.6684834946059	0	0	1260.30921703284
"RPL34"	1.35939083454964	2.84905752388866	55.5964721402399	0	0	1257.57624487238
"RPSA"	1.4308252174699	2.09762814315722	55.2812502304409	0	0	1245.62821425718
"RPL12"	1.36759442185407	2.68894282135058	55.116559479874	0	0	1239.39582839811
"XBP1"	-1.61927923619814	1.45378832893191	-54.694167767873	0	0	1223.44309124331
"RPL9"	1.37255038119173	2.48469212171838	54.6282803993233	0	0	1220.95885661089
"RPL32"	1.38527446094824	3.16047694728859	54.5929962674646	0	0	1219.62896205551
"EEF1A1"	1.32511799545485	3.91266168104241	54.5787646482647	0	0	1219.09265045445
"HLA-DRB5"	1.54940963368565	1.16959149503044	54.2218116644259	0	0	1205.65856715997
"RPL30"	1.40927628743764	3.01667438850778	54.0091864254827	0	0	1197.67249535483
"RPS18"	1.28495334485439	3.27811885400751	53.416426281084	0	0	1175.47383751718
"RPS27A"	1.29984975622952	3.11445852343222	53.4044910216222	0	0	1175.02786340758
"RPS12"	1.36697605990407	3.40640167929357	52.9964313831001	0	0	1159.80435332739
"RPS6"	1.31039995535708	2.86533686974768	52.9816830738108	0	0	1159.25501993954
"RPS15A"	1.26338004688883	2.83831544590819	52.4806817562656	0	0	1140.63126918449
"RPS3A"	1.26702636550134	3.01384395099717	52.4429840554292	0	0	1139.23287709117
"RPL39"	1.43001426719967	2.80294450842703	52.3761427770053	0	0	1136.7544312391
"RPS25"	1.32110288793739	2.57624380086621	52.2735858006924	0	0	1132.95421746711
"RPS3"	1.29156532621361	2.96433289698394	52.2174056005463	0	0	1130.87379559567
"RPL28"	1.29286601945045	3.20359254437354	51.5813741044413	0	0	1107.38659912648
"RPS14"	1.14283812741418	3.10245825202979	50.9716870737734	0	0	1084.98822221525
"RPS13"	1.24935638196167	2.71362447947637	50.4211906161358	0	0	1064.86471328176
"RPL13"	1.27060030087367	3.51918353677842	50.2539589265691	0	0	1058.77078104619
"CORO1A"	1.10445647713567	0.737684267068281	50.0673969990212	0	0	1051.98319242466
"CXCR4"	1.51602448044942	1.32704700660222	49.8893133514435	0	0	1045.51471673598
"RPL23A"	1.30169120450398	2.36323449381376	49.7964595878138	0	0	1042.14617477088
"LTB"	1.20313166533376	0.725024093782795	49.4796621415069	0	0	1030.67505142055
"IGHG1"	-2.66535281397301	2.23711262720071	-49.4557719475177	0	0	1029.81136153601
"RPL37"	1.23447797898741	2.38026953939609	49.2926143301168	0	0	1023.91796773711
"RPLP2"	1.29828213945611	2.55007293830508	49.2314115782092	0	0	1021.70960178461
"RPL15"	1.1728954096212	2.61470774892561	49.1528351481264	0	0	1018.87621744687
"MZB1"	-1.47349075114945	1.32617775379067	-48.7012508422665	0	0	1002.63373397889
"SSR4"	-1.66020026641213	2.09783884871736	-48.470481962492	0	0	994.360881952849
"FAU"	1.13791351438536	2.69040229453994	48.2220552189035	0	0	985.476006615537
"UBA52"	1.21056821310536	1.81444405722315	48.0924899738345	0	0	980.850876213136
"RPL18A"	1.13532065374667	3.18837022263701	48.0213141180826	0	0	978.312648971301
"RPL21"	1.29329851115387	2.56821876926894	48.0142810239357	0	0	978.061938146254
"RPS9"	1.16643951464218	2.51616267743724	47.9529641954249	0	0	975.876913167438
"RPS8"	1.12379503266768	3.28108821015352	47.9234926008378	0	0	974.827175359242
"ARHGDIB"	1.08560476749874	0.883527313145579	47.8919274816241	0	0	973.703217019615
"LIMD2"	1.05297346054906	0.73196314872374	47.8046525579644	0	0	970.597443047357
"RPL10A"	1.23146152553616	2.09985389554215	47.7631495215291	0	0	969.12148149763
"RPS19"	1.08044023567319	3.25593147208879	47.7317100040938	0	0	968.003823205536
"RPS7"	1.13271045103716	2.67741639259252	47.2578714029712	0	0	951.202988329624
"ACTB"	1.45300606452519	2.51811909478332	47.0587903475094	0	0	944.16899734349
"GNB2L1"	1.154833936057	2.22291535605657	46.946869593286	0	0	940.221096181862
"RPL35A"	1.13192200043344	2.57039900855231	46.8541114826322	0	0	936.952714152784
"RPL41"	1.12341681816347	2.92067113014889	46.6908617602207	0	0	931.208431927986
"RPL14"	1.13638601733977	2.46320520954904	46.1058087636322	0	0	910.705962686365
"RPS15"	1.12166245333905	2.81069243736478	46.0611333724068	0	0	909.145815671848
"RPS21"	1.21860617769387	2.02493063650806	45.9552482298003	0	0	905.451229845951
"RPL5"	1.13854570455293	2.3599680073376	45.9022027208065	0	0	903.601998980169
"HLA-E"	1.14769317005542	1.68738077711663	45.5830236572765	0	0	892.49848864279
"HLA-B"	1.20703593865824	2.69731033232977	45.4200895258366	0	0	886.846007492145
"RPS29"	1.28525842249315	1.75257738450317	45.393412352588	0	0	885.921541011252
"RPL3"	1.0333062031621	2.93270835580168	45.1497513672912	0	0	877.491023620378
"RPS24"	1.07532542445667	2.58461137214022	44.8078415993355	0	0	865.701832543748
"RPL29"	1.06480935757927	2.7485849303258	44.6219754563841	0	0	859.313225837435
"RPL26"	1.30039173307488	1.72734843462309	44.5344636554399	0	0	856.310213937171
"IGHG4"	-1.57250672014807	1.16479709275038	-44.4769733783306	0	0	854.339138672705
"TMSB10"	1.18515594833291	2.39823364642387	44.4036218839133	0	0	851.826256488699
"RPS16"	1.08937006376826	2.34767886932402	44.3714603331861	0	0	850.725172100608
"RPL22"	1.10235268346958	1.92239818114098	44.2503534796176	0	0	846.582841568004
"RPL36"	1.13559090828068	2.19592669655929	43.7549931388977	0	0	829.70410771193
"FKBP11"	-0.956840286192369	0.817633700301075	-43.6645254503638	0	0	826.632848233246
"PTMA"	1.06792417384342	2.68761153905339	43.5394231807481	0	0	822.391595882548
"RPL18"	1.04953397727587	2.81312762005704	43.4653673980694	0	0	819.884122963274
"RPS28"	1.08309676984376	2.74610170843827	43.3636272581795	0	0	816.443158512235
"RPL10"	0.931510910550511	3.8649685016135	42.8339914577814	0	0	798.603490246171
"RPS4X"	0.969582149321013	3.24463387919028	42.3683937061718	0	0	783.02367491343
"RPS5"	1.03275233751705	2.58221203236906	42.3268191760769	0	0	781.637251924876
"RPS2"	1.20312959103451	2.29727009344787	42.2796857404147	0	0	780.066398103796
"BANK1"	0.808630251822067	0.494670389316544	41.5217202961571	0	0	754.944752268434
"DERL3"	-1.07559031863777	0.960280826829927	-41.3438460990071	0	0	749.087941811558
"ARPC3"	0.944560293305942	1.00690756173027	41.099754336971	0	0	741.075016173048
"RPL27"	1.0567293939319	1.72504437356535	40.827150803053	0	0	732.159509332106
"RPS11"	1.08832372874583	1.82907582066229	40.4510714904912	5.30132437987658e-320	1.47838522106607e-317	719.918280330467
"RPL24"	0.973521891841195	2.19840768504064	40.4344117356311	9.10562985285417e-320	2.51228181352284e-317	719.377592419653
"FCMR"	0.74974551867412	0.426260450882779	40.3334909001895	2.40538824071686e-318	6.56670989715703e-316	716.105116604371
"HNRNPA1"	0.968399128453272	1.26359395028225	40.174778335144	4.10142607819483e-316	1.1080258889188e-313	710.968721124842
"CD69"	1.20620740702116	0.894659532365987	40.0902283752117	6.30460637245242e-315	1.68566975535582e-312	708.237475101093
"RAC2"	0.900549128271571	0.830456290459776	40.034034867876	3.86842616327592e-314	1.02375135249552e-311	706.42417976795
"PRDX4"	-0.837049854297225	0.74889719534261	-39.7352212010867	5.83143850426021e-310	1.52766017785847e-307	696.808021393653
"HLA-DMA"	0.856130271838424	0.709347945710166	39.4185600426585	1.48779942682659e-305	3.85860781347475e-303	686.666010114451
"RPL8"	0.92945392789483	2.91381481152422	39.0782916399433	7.6462871518486e-301	1.96343027013063e-298	675.824153732263
"PABPC1"	0.998802591818312	1.38355729151587	39.0304765264074	3.49457411046285e-300	8.88546858380921e-298	674.305344416246
"NACA"	0.936617520408994	2.12198063902044	38.8547550444359	9.21194531215255e-298	2.31953205505511e-295	668.733719668549
"PTPRC"	0.786731690851429	0.56282916701517	38.7894574463153	7.281551292912e-297	1.81583685366993e-294	666.667351547901
