"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CD52"	1.92594790489502	1.89872710796945	247.461001008657	0	0	17653.8005689345
"TMSB4X"	0.336328910430843	4.68436514102694	48.7207918246768	0	0	1136.31958035678
"S100A4"	0.506090017287711	2.17414304447173	37.0975398606935	1.78938814688787e-295	1.54692605298456e-291	663.022890264784
"B2M"	0.175582713227771	5.19547257126795	36.3164397876427	1.77645169511761e-283	1.15180686782188e-279	635.418801871325
"CD3D"	0.405935966236387	1.48256426632444	33.5951810642513	1.55260369694677e-243	8.05335537606292e-240	543.522610796574
"RPL13A"	0.492341992186264	2.10800603957784	32.4934767503904	3.42476122945815e-228	1.48035304143329e-224	508.224008461515
"TRAC"	0.394639917080108	0.962115424659561	32.1442226775528	1.98823228596409e-223	7.36640061949697e-220	497.265030797027
"RPS29"	0.417100281066193	2.39352587225638	31.155359900569	3.33893194696025e-210	1.08244000055518e-206	466.84247153187
"GZMA"	0.402963455727004	0.893917050843107	30.1820979936862	1.44214797306401e-197	4.15578974237946e-194	437.778397800036
"RPL27A"	0.38269269292965	2.05322655449378	28.7814521748586	4.73756044170709e-180	1.22868630055673e-176	397.49017731818
"RPS17"	0.404413902712051	1.20596705023507	28.3078442588843	2.62727356054995e-174	6.19439452662391e-171	384.280041912915
"RPL31"	0.377750177315562	1.88163484802646	28.2153164072175	3.39697175630971e-173	7.34170520832437e-170	381.723639343373
"MT-ATP8"	-0.428547200309583	2.09031378432244	-27.4694583475784	2.31586534098354e-164	4.62015135526217e-161	361.409039110843
"MYL12A"	0.330477706464248	1.85025493481494	27.2086085070367	2.51639165044585e-161	4.66161553245093e-158	354.427359678896
"FTH1"	-0.370687115361503	3.34949585425311	-27.1112430326233	3.36459355215358e-160	5.81738225167354e-157	351.837721179994
"RPL21"	0.296609448694975	3.03579747746474	26.4420283320481	1.45453528697089e-152	2.35771079172437e-149	334.279585792394
"RPS20"	0.383042236643374	1.4112043553857	26.279781094526	9.69292402405997e-151	1.47874108567056e-147	330.086189492354
"H3F3B"	-0.282574157769945	3.28209533459287	-26.1685910190364	1.6985123199495e-149	2.44727316766058e-146	327.226727588454
"RPL23A"	0.263747916886068	2.97840884490165	26.0424299895059	4.31524009784194e-148	5.89030273355425e-145	323.996376996237
"CCL5"	0.481887121861142	1.91928501943038	25.904036885737	1.4745845594215e-146	1.91216752742983e-143	320.470095295302
"RPL8"	-0.296053933953182	2.99405162498253	-25.8709784197365	3.41870771791758e-146	4.22210403162821e-143	319.630434376428
"IL32"	0.370246270035933	1.90726345278891	25.5893198359124	4.23794122153742e-143	4.99595479911695e-140	312.518373031037
"ARHGDIB"	0.299487462208494	2.02764665770286	25.467324292925	9.05465336712121e-142	1.02101058728821e-138	309.461176902992
"ALOX5AP"	0.303700307824233	0.919862235163443	25.3761466502263	8.84498766262839e-141	9.5581147929278e-138	307.185465680642
"CD2"	0.315659674561075	1.43313080812292	25.2706469674159	1.22390206427215e-139	1.26967600147593e-136	304.562106072055
"RPL37A"	0.296650992558967	2.20042902342105	24.8783468409699	1.95273484013549e-135	1.94785300303515e-132	294.899625053956
"MT-ND4L"	-0.419680782490967	2.70361705064381	-24.8253822374567	7.13235447367311e-135	6.85102271387823e-132	293.60626523766
"TUBB4B"	-0.29190214078902	0.90679703276528	-24.7743628204583	2.47782200275405e-134	2.29508263005094e-131	292.362921398846
"CD3G"	0.252567272194562	0.738068153863514	24.7316501738565	7.01499167906472e-134	6.27357962746702e-131	291.323912618264
"GZMH"	0.229183090101539	0.381558139901881	24.3697692703237	4.41657771155287e-130	3.81813143163746e-127	282.590451184096
"HSPA1A"	-0.496747103536615	1.83238119707029	-24.0630394354699	6.65158366435606e-127	5.56480072048627e-124	275.285413575861
"RPL7"	0.32580480301319	1.89667957484627	23.9724057829681	5.68197780185385e-126	4.60506544659624e-123	273.144022775925
"PPP1R15A"	-0.309796324642338	1.19213823536358	-23.8444624577175	1.15821825009587e-124	9.10254252007162e-122	270.134430579321
"HSPH1"	-0.329409760287733	1.16404235645037	-23.8029489503776	3.07016320784842e-124	2.3419024351632e-121	269.161263711849
"CKLF"	0.214559005465625	0.484250271677859	23.7754822385342	5.84637481604635e-124	4.33216373869034e-121	268.518286579689
"FOS"	-0.420433249351797	2.05995500139847	-23.4915121479009	4.37135456017363e-121	3.14919668105842e-118	261.912877051494
"RPS11"	0.285380017609943	1.84983441407465	23.3877659991227	4.81058065822132e-120	3.37195701002621e-117	259.518820890004
"MT-CO2"	-0.183066540542209	4.24880626695048	-23.2632120605199	8.44895990658661e-119	5.76641513624536e-116	256.658167717097
"ZFP36"	-0.375865598926029	2.47999514042724	-23.1026019424741	3.32832105833174e-117	2.2133335037906e-114	252.991266495515
"DNAJB1"	-0.40777691803142	2.03317035193711	-22.8911826795665	4.03717637920264e-115	2.61760423486551e-112	248.201905020398
"CLIC1"	0.274096971910126	1.40271513367541	22.7779250780437	5.18541457010353e-114	3.28009089940573e-111	245.653811638514
"DUSP1"	-0.355182334466298	2.11736170229775	-22.6732536784495	5.42886746947472e-113	3.35232566240064e-110	243.309800530067
"RPL18"	-0.25628343086779	3.03459802308603	-22.6347826139003	1.28360804308089e-112	7.74194758076809e-110	242.450913816825
"GMFG"	0.24842361716317	0.978568567489876	22.5904177196562	3.45659538820337e-112	2.0374273043876e-109	241.462202648602
"PTMA"	-0.211649607930773	3.40286828726968	-22.3417783297121	8.60292107591381e-110	4.95815018008499e-107	235.955925186832
"ZNF683"	0.212317073159965	0.403165064143164	22.0631103573012	3.88603586913543e-107	2.15469132928628e-104	229.855035662247
"NEU1"	-0.238210085272233	0.62035822009263	-22.0628896521524	3.90478089363622e-107	2.15469132928628e-104	229.850233260195
"ATP6V0C"	-0.231427039454343	0.729319046318641	-21.7904653080766	1.43137302209982e-104	7.73388736003311e-102	223.958083289891
"LMNA"	-0.27469020800129	0.836240372582672	-21.25136134863	1.37709749729377e-99	7.28878032496205e-97	212.508106350709
"RPL23"	0.263332187494111	1.38514851401637	21.1801041377129	6.14571713590943e-99	3.18778347839622e-96	211.015587872615
"MTRNR2L12"	-0.288690580430637	1.51823288861196	-20.9442942982912	8.37931689791303e-97	4.26112909308578e-94	206.111273503113
"RPLP1"	-0.172963101834186	4.26626523222593	-20.7307310495544	6.86183786060374e-95	3.42234163297612e-92	201.715846467464
"CSRNP1"	-0.210139194922994	0.648945872045084	-20.6730043734121	2.24038658790584e-94	1.09630992749694e-91	200.535296636605
"HSPA1B"	-0.378819452253885	1.38371119639755	-20.6349869575856	4.87521471583189e-94	2.34145728990926e-91	199.759568896432
