"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.11072401257084,0.866,0.173,0,"0","IL7R"
0,2.29806474107002,0.491,0.142,0,"0","GPR183"
0,2.35232125231315,0.786,0.442,0,"0","ANXA1"
0,2.78570306508667,0.382,0.072,0,"0","CCR7"
0,2.27612876098117,0.345,0.077,0,"0","KLRB1"
0,2.32726777843738,0.403,0.142,0,"0","PTGER4"
0,3.66660980497454,0.275,0.028,0,"0","CD40LG"
0,2.55757627724615,0.303,0.057,0,"0","TRAT1"
0,2.19162089473861,0.285,0.075,0,"0","CD6"
0,2.27880016540001,0.263,0.065,0,"0","CAMK4"
0,2.87842236716321,0.748,0.1,0,"1","NKG7"
0,3.61612533451191,0.665,0.167,0,"1","CCL4"
0,2.94928754422667,0.561,0.081,0,"1","CTSW"
0,4.54208536940958,0.431,0.032,0,"1","XCL1"
0,3.64800920907936,0.424,0.042,0,"1","KLRD1"
0,3.93685717654172,0.393,0.043,0,"1","GNLY"
0,4.50899360491746,0.373,0.028,0,"1","XCL2"
0,3.26804094571883,0.375,0.04,0,"1","ZNF683"
0,3.51717311826338,0.355,0.055,0,"1","IFNG"
0,2.8802054631191,0.313,0.092,0,"1","CCL4L2"
0,3.16869734551387,0.82,0.129,0,"2","AGR2"
0,3.49762185154875,0.745,0.103,0,"2","GPRC5A"
0,3.18717936512635,0.702,0.086,0,"2","AGR3"
0,3.55893857322989,0.413,0.047,0,"2","GDF15"
0,3.3139388433192,0.383,0.032,0,"2","PRR15"
0,3.89823283925535,0.375,0.034,0,"2","TFF1"
0,3.45619394825001,0.311,0.031,0,"2","SCUBE2"
0,3.17333204878935,0.277,0.02,0,"2","ANXA9"
0,3.17513247296471,0.281,0.029,0,"2","AKR7A3"
0,3.19104557500704,0.266,0.022,0,"2","MISP"
0,3.78913377239387,0.612,0.068,0,"3","TIGIT"
0,4.62002424499347,0.514,0.036,0,"3","CTLA4"
0,4.53832441876884,0.499,0.061,0,"3","TNFRSF4"
0,3.64519924474232,0.597,0.16,0,"3","BATF"
0,4.11236906116009,0.493,0.079,0,"3","TNFRSF18"
0,6.19547583913009,0.329,0.009,0,"3","FOXP3"
0,4.57737527245802,0.318,0.027,0,"3","AC133644.2"
0,3.73519318527791,0.273,0.032,0,"3","TNFRSF9"
0,4.61704727071864,0.261,0.025,0,"3","IL2RA"
0,3.8919801138727,0.274,0.069,0,"3","CXCL13"
0,3.00080485458367,0.552,0.092,0,"4","ANKRD30A"
0,3.10485215580342,0.487,0.094,0,"4","PIP"
0,3.03370179698295,0.492,0.106,0,"4","MUC1"
0,2.95710373484009,0.473,0.136,0,"4","SCGB2A2"
0,3.11641032389916,0.406,0.076,0,"4","ESR1"
0,2.96032534416869,0.374,0.057,0,"4","C1orf64"
0,3.13215199122363,0.385,0.079,0,"4","FOXA1"
0,3.11791852400272,0.381,0.077,0,"4","SCGB1D2"
0,2.9430286241211,0.302,0.056,0,"4","SCGB2A1"
0,2.98256499938902,0.264,0.055,0,"4","CYP4X1"
0,4.05802666274424,0.885,0.11,0,"5","NKG7"
0,3.76613412062994,0.754,0.1,0,"5","GZMA"
0,4.0484720925904,0.672,0.071,0,"5","CD8A"
0,3.99984803972429,0.593,0.056,0,"5","GZMB"
0,4.59940808774139,0.548,0.035,0,"5","GZMH"
0,3.82121730001345,0.559,0.058,0,"5","CD8B"
0,4.14427916210014,0.484,0.048,0,"5","PRF1"
0,3.62359180869601,0.414,0.047,0,"5","ZNF683"
0,3.71261170681522,0.428,0.065,0,"5","LAG3"
0,3.57274848057493,0.326,0.039,0,"5","CXCR6"
0,6.30790338818505,0.94,0.04,0,"6","C1QC"
0,6.24717526324318,0.94,0.048,0,"6","C1QA"
0,6.27442699002012,0.939,0.048,0,"6","C1QB"
0,6.20786412320492,0.838,0.071,0,"6","APOC1"
0,6.14641009733428,0.694,0.014,0,"6","MSR1"
0,6.23687337866266,0.682,0.015,0,"6","MS4A4A"
0,6.83396923026629,0.486,0.009,0,"6","FOLR2"
0,6.82208578942641,0.291,0.003,0,"6","CD209"
0,6.82841342480052,0.266,0.002,0,"6","LILRB5"
0,6.7348277771355,0.261,0.004,0,"6","TMIGD3"
0,3.69653366906413,0.578,0.061,0,"7","SFRP1"
0,4.20234764299453,0.551,0.066,0,"7","KRT15"
0,3.89505740562986,0.44,0.043,0,"7","CCL28"
0,4.02712213425722,0.347,0.021,0,"7","GABRP"
0,4.18048428176245,0.341,0.026,0,"7","MMP7"
0,3.73021311342879,0.335,0.024,0,"7","ELF5"
0,4.28713991177925,0.325,0.019,0,"7","LCN2"
0,3.91008479002946,0.321,0.019,0,"7","SAA2"
0,4.01195281197159,0.322,0.021,0,"7","KRT6B"
0,4.42445825978056,0.266,0.013,0,"7","KLK5"
0,7.8490739467985,0.928,0.028,0,"8","ACKR1"
0,5.93599172735859,0.708,0.032,0,"8","ZNF385D"
0,5.80465783823704,0.639,0.024,0,"8","TSPAN7"
0,6.62276031292435,0.565,0.009,0,"8","CCL14"
0,7.18014427846535,0.523,0.005,0,"8","SELP"
0,6.8337438423413,0.45,0.006,0,"8","SELE"
0,5.97194176269174,0.426,0.016,0,"8","ADM5"
0,6.53693182666713,0.391,0.008,0,"8","TLL1"
0,7.4768791241791,0.312,0.003,0,"8","RAB3C"
0,6.16670568048365,0.31,0.008,0,"8","LHX6"
0,8.23862823195815,0.55,0.072,0,"9","IGKV1-9"
0,8.02219637610533,0.393,0.008,0,"9","IGKV1-12"
0,8.23560139895446,0.399,0.029,0,"9","IGHV3-30"
0,8.31969964065516,0.347,0.014,0,"9","IGKV3D-11"
0,7.98728965986153,0.367,0.058,0,"9","IGLV2-14"
0,8.52252345324957,0.356,0.052,0,"9","IGLV3-25"
0,8.17102669092223,0.315,0.013,0,"9","IGHG2"
0,8.37023220422256,0.297,0.009,0,"9","IGKV1-27"
0,8.4084104384187,0.282,0.013,0,"9","IGKV1-17"
0,8.58396473441495,0.278,0.017,0,"9","IGKV1-16"
0,4.9018843100645,0.762,0.034,0,"10","UBE2C"
0,4.89401539053919,0.708,0.031,0,"10","BIRC5"
0,4.65088634987234,0.612,0.022,0,"10","RRM2"
0,4.63246623531342,0.582,0.02,0,"10","PKMYT1"
0,4.77620883931774,0.457,0.014,0,"10","CDCA3"
0,4.64544829441242,0.44,0.014,0,"10","CENPA"
0,4.98033932381617,0.415,0.008,0,"10","PBK"
0,4.89175459136548,0.384,0.009,0,"10","DEPDC1"
0,4.91830997355687,0.342,0.008,0,"10","NEK2"
0,4.64662539185766,0.267,0.007,0,"10","TTK"
0,6.60261957773596,0.986,0.128,0,"11","COL1A1"
0,6.46333597983958,0.917,0.061,0,"11","POSTN"
0,8.13971531984579,0.656,0.03,0,"11","MMP11"
0,8.0385792746625,0.575,0.005,0,"11","COL10A1"
0,9.49790918907032,0.383,0.002,0,"11","COL11A1"
0,7.85515929025311,0.373,0.002,0,"11","LRRC15"
0,6.93713377323329,0.348,0.006,0,"11","COMP"
0,7.56381735408188,0.328,0.002,0,"11","PLPP4"
0,7.36060189754441,0.324,0.003,0,"11","FNDC1"
0,6.96285477194105,0.276,0.002,0,"11","RP11-417E7.2"
0,6.74230734316543,0.69,0.02,0,"12","MYH11"
0,7.53405703637069,0.625,0.009,0,"12","PLN"
0,8.88554943128172,0.574,0.009,0,"12","RERGL"
0,7.06851892346114,0.485,0.007,0,"12","WFDC1"
0,7.67510212497874,0.446,0.003,0,"12","CASQ2"
0,7.20051317602752,0.321,0.003,0,"12","SGCA"
0,6.35809869790853,0.323,0.006,0,"12","FHL5"
0,6.7110965006756,0.309,0.007,0,"12","KCNAB1"
0,6.14995040286293,0.302,0.006,0,"12","OR51E1"
0,5.95392057571563,0.273,0.006,0,"12","NRIP2"
0,5.63948330282151,0.987,0.088,0,"13","DCN"
